tag,base,diff,x,y,w,h,guidex,guidey
CA01_04L,CA07_04L,CA01_04L,276,312,309,311,405,273
CA01_05L,CA04_05L,CA01_05L,281,312,303,311,405,273
CA01_07L,CA01_09L,CA01_07L,148,154,253,155,405,273
CA01_09L,CA01_09L,,0,0,0,0,405,273
CA01_11L,CA07_11L,CA01_11L,276,312,308,311,405,273
CA02_04L,CA02_04L,,0,0,0,0,405,273
CA02_05L,CA02_11L,CA02_05L,230,155,190,154,405,273
CA02_07L,CA02_04L,CA02_07L,230,157,181,159,405,273
CA02_09L,CA02_04L,CA02_09L,158,154,253,162,405,273
CA02_11L,CA02_11L,,0,0,0,0,405,273
CA03_04L,CA07_04L,CA03_04L,276,313,312,310,405,273
CA03_05L,CA04_05L,CA03_05L,285,315,296,308,405,273
CA03_07L,CA03_07L,,0,0,0,0,405,273
CA03_09L,CA03_07L,CA03_09L,148,154,253,155,405,273
CA03_11L,CA07_11L,CA03_11L,276,313,305,310,405,273
CA04_04L,CA04_04L,,0,0,0,0,405,273
CA04_05L,CA04_05L,,0,0,0,0,405,273
CA04_07L,CA04_04L,CA04_07L,220,157,181,159,405,273
CA04_09L,CA04_04L,CA04_09L,148,154,253,162,405,273
CA04_11L,CA07_11L,CA04_11L,276,313,270,310,405,273
CA05_04L,CA05_04L,,0,0,0,0,405,273
CA05_05L,CA06_11L,CA05_05L,220,155,190,154,405,273
CA05_07L,CA06_04L,CA05_07L,220,157,181,159,405,273
CA05_09L,CA06_04L,CA05_09L,148,154,253,162,405,273
CA05_11L,CA05_11L,,0,0,0,0,405,273
CA06_04L,CA06_04L,,0,0,0,0,405,273
CA06_05L,CA06_11L,CA06_05L,220,155,190,154,405,273
CA06_07L,CA06_04L,CA06_07L,220,157,181,159,405,273
CA06_09L,CA06_04L,CA06_09L,148,154,253,162,405,273
CA06_11L,CA06_11L,,0,0,0,0,405,273
CA07_04L,CA07_04L,,0,0,0,0,405,273
CA07_05L,CA07_11L,CA07_05L,220,155,190,154,405,273
CA07_07L,CA07_04L,CA07_07L,220,157,181,159,405,273
CA07_09L,CA07_04L,CA07_09L,148,154,253,162,405,273
CA07_11L,CA07_11L,,0,0,0,0,405,273
