tag,base,diff,x,y,w,h,guidex,guidey
CA01_04M,CA01_04M,,0,0,0,0,252,193
CA01_05M,CA01_11M,CA01_05M,162,89,101,85,252,193
CA01_07M,CA01_04M,CA01_07M,161,91,99,87,252,193
CA01_09M,CA01_04M,CA01_09M,123,89,137,89,252,193
CA01_11M,CA01_11M,,0,0,0,0,252,193
CA02_04M,CA02_04M,,0,0,0,0,252,193
CA02_05M,CA02_11M,CA02_05M,162,89,102,85,252,193
CA02_07M,CA02_04M,CA02_07M,161,91,99,87,252,193
CA02_09M,CA02_04M,CA02_09M,123,89,137,89,252,193
CA02_11M,CA02_11M,,0,0,0,0,252,193
CA03_04M,CA03_04M,,0,0,0,0,252,193
CA03_05M,CA03_11M,CA03_05M,162,89,101,85,252,193
CA03_07M,CA03_04M,CA03_07M,161,91,99,87,252,193
CA03_09M,CA03_04M,CA03_09M,123,89,137,89,252,193
CA03_11M,CA03_11M,,0,0,0,0,252,193
CA04_04M,CA04_04M,,0,0,0,0,252,193
CA04_05M,CA04_11M,CA04_05M,162,89,101,85,252,193
CA04_07M,CA04_04M,CA04_07M,161,91,99,87,252,193
CA04_09M,CA04_04M,CA04_09M,123,89,137,89,252,193
CA04_11M,CA04_11M,,0,0,0,0,252,193
CA05_04M,CA06_04M,CA05_04M,167,511,164,32,252,193
CA05_05M,CA05_05M,,0,0,0,0,252,193
CA05_07M,CA05_07M,,0,0,0,0,252,193
CA05_09M,CA06_09M,CA05_09M,167,511,164,32,252,193
CA05_11M,CA06_11M,CA05_11M,167,515,149,28,252,193
CA06_04M,CA06_04M,,0,0,0,0,252,193
CA06_05M,CA06_11M,CA06_05M,162,89,101,85,252,193
CA06_07M,CA06_04M,CA06_07M,161,91,99,435,252,193
CA06_09M,CA06_09M,,0,0,0,0,252,193
CA06_11M,CA06_11M,,0,0,0,0,252,193
CA07_04M,CA07_04M,,0,0,0,0,252,193
CA07_05M,CA07_11M,CA07_05M,162,89,101,85,252,193
CA07_07M,CA07_04M,CA07_07M,161,91,99,87,252,193
CA07_09M,CA07_04M,CA07_09M,123,89,137,89,252,193
CA07_11M,CA07_11M,,0,0,0,0,252,193
