tag,base,diff,x,y,w,h,guidex,guidey
CA01_04S,CA01_04S,,0,0,0,0,208,186
CA01_05S,CA01_11S,CA01_05S,126,71,79,64,208,186
CA01_07S,CA01_04S,CA01_07S,126,72,76,66,208,186
CA01_09S,CA01_04S,CA01_09S,99,70,103,68,208,186
CA01_11S,CA01_11S,,0,0,0,0,208,186
CA02_04S,CA02_04S,,0,0,0,0,208,186
CA02_05S,CA02_05S,,0,0,0,0,208,186
CA02_07S,CA02_04S,CA02_07S,127,72,74,66,208,186
CA02_09S,CA02_04S,CA02_09S,98,70,103,68,208,186
CA02_11S,CA02_05S,CA02_11S,126,71,79,64,208,186
CA03_04S,CA03_04S,,0,0,0,0,208,186
CA03_05S,CA03_11S,CA03_05S,126,71,79,64,208,186
CA03_07S,CA03_04S,CA03_07S,126,72,76,66,208,186
CA03_09S,CA03_04S,CA03_09S,99,70,103,68,208,186
CA03_11S,CA03_11S,,0,0,0,0,208,186
CA04_04S,CA04_04S,,0,0,0,0,208,186
CA04_05S,CA04_05S,,0,0,0,0,208,186
CA04_07S,CA04_04S,CA04_07S,126,72,76,66,208,186
CA04_09S,CA04_04S,CA04_09S,99,70,103,68,208,186
CA04_11S,CA06_11S,CA04_11S,131,135,163,279,208,186
CA05_04S,CA06_04S,CA05_04S,132,389,124,61,208,186
CA05_05S,CA06_11S,CA05_05S,126,71,118,373,208,186
CA05_07S,CA05_07S,,0,0,0,0,208,186
CA05_09S,CA05_07S,CA05_09S,99,70,103,65,208,186
CA05_11S,CA06_11S,CA05_11S,132,392,112,52,208,186
CA06_04S,CA06_04S,,0,0,0,0,208,186
CA06_05S,CA06_11S,CA06_05S,126,71,79,64,208,186
CA06_07S,CA06_04S,CA06_07S,126,72,76,330,208,186
CA06_09S,CA06_04S,CA06_09S,99,70,103,332,208,186
CA06_11S,CA06_11S,,0,0,0,0,208,186
CA07_04S,CA07_04S,,0,0,0,0,208,186
CA07_05S,CA07_11S,CA07_05S,126,71,79,64,208,186
CA07_07S,CA07_04S,CA07_07S,126,72,76,66,208,186
CA07_09S,CA07_04S,CA07_09S,99,70,103,68,208,186
CA07_11S,CA07_11S,,0,0,0,0,208,186
