tag,base,diff,x,y,w,h,guidex,guidey
CA01_01L,CA01_01L,,0,0,0,0,408,274
CA01_02L,CA01_01L,CA01_02L,282,162,226,153,408,274
CA01_03L,CA01_01L,CA01_03L,290,162,218,169,408,274
CA01_06L,CA01_01L,CA01_06L,290,162,218,153,408,274
CA01_08L,CA07_08L,CA01_08L,212,352,404,272,408,274
CA01_10L,CA01_01L,CA01_10L,287,162,221,156,408,274
CA01_12L,CA03_12L,CA01_12L,210,347,406,277,408,274
CA01_13L,CA04_13L,CA01_13L,212,352,404,272,408,274
CA02_01L,CA02_01L,,0,0,0,0,408,274
CA02_02L,CA02_01L,CA02_02L,289,162,226,153,408,274
CA02_03L,CA02_01L,CA02_03L,297,162,218,169,408,274
CA02_06L,CA02_01L,CA02_06L,297,162,218,153,408,274
CA02_08L,CA02_08L,,0,0,0,0,408,274
CA02_10L,CA02_01L,CA02_10L,294,162,263,330,408,274
CA02_12L,CA02_08L,CA02_12L,298,167,213,148,408,274
CA02_13L,CA02_08L,CA02_13L,296,159,217,160,408,274
CA03_01L,CA03_01L,,0,0,0,0,408,274
CA03_02L,CA03_01L,CA03_02L,282,162,226,153,408,274
CA03_03L,CA03_01L,CA03_03L,290,162,218,169,408,274
CA03_06L,CA03_01L,CA03_06L,290,162,218,153,408,274
CA03_08L,CA07_08L,CA03_08L,210,347,403,277,408,274
CA03_10L,CA03_01L,CA03_10L,287,162,221,156,408,274
CA03_12L,CA03_12L,,0,0,0,0,408,274
CA03_13L,CA03_12L,CA03_13L,289,159,217,160,408,274
CA04_01L,CA04_01L,,0,0,0,0,408,274
CA04_02L,CA04_01L,CA04_02L,282,162,226,153,408,274
CA04_03L,CA04_01L,CA04_03L,290,162,218,169,408,274
CA04_06L,CA04_01L,CA04_06L,290,162,218,153,408,274
CA04_08L,CA07_08L,CA04_08L,222,375,297,249,408,274
CA04_10L,CA04_01L,CA04_10L,287,162,221,156,408,274
CA04_12L,CA06_12L,CA04_12L,187,371,413,253,408,274
CA04_13L,CA04_13L,,0,0,0,0,408,274
CA05_01L,CA05_01L,,0,0,0,0,408,274
CA05_02L,CA06_01L,CA05_02L,282,162,226,153,408,274
CA05_03L,CA06_01L,CA05_03L,290,162,218,169,408,274
CA05_06L,CA06_01L,CA05_06L,290,162,218,153,408,274
CA05_08L,CA06_12L,CA05_08L,291,167,213,148,408,274
CA05_10L,CA06_01L,CA05_10L,287,162,221,156,408,274
CA05_12L,CA05_12L,,0,0,0,0,408,274
CA05_13L,CA06_12L,CA05_13L,289,159,217,160,408,274
CA06_01L,CA06_01L,,0,0,0,0,408,274
CA06_02L,CA06_01L,CA06_02L,282,162,226,153,408,274
CA06_03L,CA06_01L,CA06_03L,290,162,218,169,408,274
CA06_06L,CA06_01L,CA06_06L,290,162,218,153,408,274
CA06_08L,CA07_08L,CA06_08L,187,371,413,253,408,274
CA06_10L,CA06_01L,CA06_10L,287,162,221,156,408,274
CA06_12L,CA06_12L,,0,0,0,0,408,274
CA06_13L,CA06_12L,CA06_13L,289,159,217,160,408,274
CA07_01L,CA07_01L,,0,0,0,0,408,274
CA07_02L,CA07_01L,CA07_02L,282,162,226,153,408,274
CA07_03L,CA07_01L,CA07_03L,290,162,218,169,408,274
CA07_06L,CA07_01L,CA07_06L,290,162,218,153,408,274
CA07_08L,CA07_08L,,0,0,0,0,408,274
CA07_10L,CA07_01L,CA07_10L,287,162,221,156,408,274
CA07_12L,CA07_08L,CA07_12L,291,167,213,148,408,274
CA07_13L,CA07_08L,CA07_13L,289,159,217,160,408,274
