tag,base,diff,x,y,w,h,guidex,guidey
CA01_01M,CA01_01M,,0,0,0,0,308,193
CA01_02M,CA01_01M,CA01_02M,245,96,124,81,308,193
CA01_03M,CA01_01M,CA01_03M,250,97,119,89,308,193
CA01_06M,CA01_01M,CA01_06M,250,97,119,80,308,193
CA01_08M,CA01_08M,,0,0,0,0,308,193
CA01_10M,CA01_01M,CA01_10M,249,96,120,82,308,193
CA01_12M,CA01_08M,CA01_12M,251,96,115,80,308,193
CA01_13M,CA01_08M,CA01_13M,250,91,117,88,308,193
CA02_01M,CA02_01M,,0,0,0,0,308,193
CA02_02M,CA02_01M,CA02_02M,268,96,124,81,308,193
CA02_03M,CA02_01M,CA02_03M,273,97,119,89,308,193
CA02_06M,CA02_01M,CA02_06M,273,97,119,80,308,193
CA02_08M,CA02_08M,,0,0,0,0,308,193
CA02_10M,CA02_01M,CA02_10M,272,95,142,177,308,193
CA02_12M,CA02_08M,CA02_12M,274,96,115,80,308,193
CA02_13M,CA02_08M,CA02_13M,273,92,117,87,308,193
CA03_01M,CA03_01M,,0,0,0,0,308,193
CA03_02M,CA03_01M,CA03_02M,245,96,124,81,308,193
CA03_03M,CA03_01M,CA03_03M,250,97,119,89,308,193
CA03_06M,CA03_01M,CA03_06M,250,97,119,80,308,193
CA03_08M,CA03_08M,,0,0,0,0,308,193
CA03_10M,CA03_01M,CA03_10M,249,96,120,82,308,193
CA03_12M,CA03_08M,CA03_12M,251,96,115,80,308,193
CA03_13M,CA03_08M,CA03_13M,250,91,117,88,308,193
CA04_01M,CA04_01M,,0,0,0,0,308,193
CA04_02M,CA04_01M,CA04_02M,245,96,124,81,308,193
CA04_03M,CA04_01M,CA04_03M,250,97,119,89,308,193
CA04_06M,CA04_01M,CA04_06M,250,97,119,80,308,193
CA04_08M,CA04_08M,,0,0,0,0,308,193
CA04_10M,CA04_01M,CA04_10M,249,96,120,82,308,193
CA04_12M,CA04_08M,CA04_12M,251,96,115,80,308,193
CA04_13M,CA04_08M,CA04_13M,250,91,117,88,308,193
CA05_01M,CA06_01M,CA05_01M,241,515,180,28,308,193
CA05_02M,CA05_03M,CA05_02M,245,96,122,90,308,193
CA05_03M,CA05_03M,,0,0,0,0,308,193
CA05_06M,CA05_03M,CA05_06M,253,100,114,86,308,193
CA05_08M,CA06_08M,CA05_08M,241,515,180,28,308,193
CA05_10M,CA05_03M,CA05_10M,249,96,116,90,308,193
CA05_12M,CA05_12M,,0,0,0,0,308,193
CA05_13M,CA05_12M,CA05_13M,250,91,117,88,308,193
CA06_01M,CA06_01M,,0,0,0,0,308,193
CA06_02M,CA06_01M,CA06_02M,245,96,124,81,308,193
CA06_03M,CA06_01M,CA06_03M,250,97,119,89,308,193
CA06_06M,CA06_01M,CA06_06M,250,97,119,80,308,193
CA06_08M,CA06_08M,,0,0,0,0,308,193
CA06_10M,CA06_01M,CA06_10M,249,96,120,82,308,193
CA06_12M,CA06_08M,CA06_12M,251,96,115,80,308,193
CA06_13M,CA06_08M,CA06_13M,250,91,117,88,308,193
CA07_01M,CA07_01M,,0,0,0,0,308,193
CA07_02M,CA07_01M,CA07_02M,245,96,124,81,308,193
CA07_03M,CA07_01M,CA07_03M,250,97,119,89,308,193
CA07_06M,CA07_01M,CA07_06M,250,97,119,80,308,193
CA07_08M,CA07_08M,,0,0,0,0,308,193
CA07_10M,CA07_01M,CA07_10M,249,96,120,82,308,193
CA07_12M,CA07_08M,CA07_12M,251,96,115,80,308,193
CA07_13M,CA07_08M,CA07_13M,250,91,117,88,308,193
