tag,base,diff,x,y,w,h,guidex,guidey
CA01_01S,CA01_01S,,0,0,0,0,241,187
CA01_02S,CA01_01S,CA01_02S,184,75,93,62,241,187
CA01_03S,CA01_01S,CA01_03S,188,76,89,69,241,187
CA01_06S,CA01_01S,CA01_06S,188,76,89,61,241,187
CA01_08S,CA01_08S,,0,0,0,0,241,187
CA01_10S,CA01_01S,CA01_10S,186,75,91,64,241,187
CA01_12S,CA01_08S,CA01_12S,186,77,89,60,241,187
CA01_13S,CA01_08S,CA01_13S,185,72,91,68,241,187
CA02_01S,CA02_01S,,0,0,0,0,241,187
CA02_02S,CA02_01S,CA02_02S,206,75,94,62,241,187
CA02_03S,CA02_01S,CA02_03S,209,76,91,69,241,187
CA02_06S,CA02_01S,CA02_06S,209,76,91,61,241,187
CA02_08S,CA02_08S,,0,0,0,0,241,187
CA02_10S,CA02_01S,CA02_10S,206,75,111,133,241,187
CA02_12S,CA02_08S,CA02_12S,209,76,89,61,241,187
CA02_13S,CA02_08S,CA02_13S,208,72,91,68,241,187
CA03_01S,CA03_01S,,0,0,0,0,241,187
CA03_02S,CA03_01S,CA03_02S,184,75,93,62,241,187
CA03_03S,CA03_01S,CA03_03S,188,76,89,69,241,187
CA03_06S,CA03_01S,CA03_06S,188,76,89,61,241,187
CA03_08S,CA03_08S,,0,0,0,0,241,187
CA03_10S,CA03_01S,CA03_10S,186,75,91,64,241,187
CA03_12S,CA03_08S,CA03_12S,186,77,89,60,241,187
CA03_13S,CA03_08S,CA03_13S,185,72,91,68,241,187
CA04_01S,CA04_01S,,0,0,0,0,241,187
CA04_02S,CA04_01S,CA04_02S,184,75,93,62,241,187
CA04_03S,CA04_01S,CA04_03S,188,76,89,69,241,187
CA04_06S,CA04_01S,CA04_06S,188,76,89,61,241,187
CA04_08S,CA07_08S,CA04_08S,160,161,173,270,241,187
CA04_10S,CA04_01S,CA04_10S,186,75,91,64,241,187
CA04_12S,CA06_12S,CA04_12S,144,159,176,243,241,187
CA04_13S,CA04_13S,,0,0,0,0,241,187
CA05_01S,CA06_01S,CA05_01S,170,391,146,138,241,187
CA05_02S,CA05_06S,CA05_02S,184,75,93,62,241,187
CA05_03S,CA05_06S,CA05_03S,188,80,89,65,241,187
CA05_06S,CA05_06S,,0,0,0,0,241,187
CA05_08S,CA06_12S,CA05_08S,180,77,136,354,241,187
CA05_10S,CA05_06S,CA05_10S,186,75,91,64,241,187
CA05_12S,CA06_12S,CA05_12S,180,392,136,39,241,187
CA05_13S,CA06_12S,CA05_13S,180,72,136,359,241,187
CA06_01S,CA06_01S,,0,0,0,0,241,187
CA06_02S,CA06_01S,CA06_02S,184,75,93,62,241,187
CA06_03S,CA06_01S,CA06_03S,188,76,89,69,241,187
CA06_06S,CA06_01S,CA06_06S,188,76,89,61,241,187
CA06_08S,CA07_08S,CA06_08S,144,159,189,272,241,187
CA06_10S,CA06_01S,CA06_10S,186,75,91,64,241,187
CA06_12S,CA06_12S,,0,0,0,0,241,187
CA06_13S,CA06_12S,CA06_13S,185,72,91,68,241,187
CA07_01S,CA07_01S,,0,0,0,0,241,187
CA07_02S,CA07_01S,CA07_02S,184,75,93,62,241,187
CA07_03S,CA07_01S,CA07_03S,188,76,89,69,241,187
CA07_06S,CA07_01S,CA07_06S,188,76,89,61,241,187
CA07_08S,CA07_08S,,0,0,0,0,241,187
CA07_10S,CA07_01S,CA07_10S,186,75,91,64,241,187
CA07_12S,CA07_08S,CA07_12S,186,77,89,60,241,187
CA07_13S,CA07_08S,CA07_13S,185,72,91,68,241,187
