tag,base,diff,x,y,w,h,guidex,guidey
CB01_01L,CB01_01L,,0,0,0,0,380,347
CB01_05L,CB01_11L,CB01_05L,209,170,224,269,380,347
CB01_06L,CB01_01L,CB01_06L,204,166,196,166,380,347
CB01_07L,CB01_01L,CB01_07L,210,166,190,166,380,347
CB01_08L,CB01_08L,,0,0,0,0,380,347
CB01_09L,CB01_09L,,0,0,0,0,380,347
CB01_10L,CB01_09L,CB01_10L,206,177,206,158,380,347
CB01_11L,CB01_11L,,0,0,0,0,380,347
CB01_12L,CB01_09L,CB01_12L,207,174,208,161,380,347
CB02_01L,CB02_01L,,0,0,0,0,380,347
CB02_05L,CB02_11L,CB02_05L,209,170,224,247,380,347
CB02_06L,CB02_01L,CB02_06L,204,166,196,166,380,347
CB02_07L,CB02_01L,CB02_07L,210,166,190,166,380,347
CB02_08L,CB02_08L,,0,0,0,0,380,347
CB02_09L,CB02_09L,,0,0,0,0,380,347
CB02_10L,CB02_09L,CB02_10L,206,177,206,158,380,347
CB02_11L,CB02_11L,,0,0,0,0,380,347
CB02_12L,CB02_12L,,0,0,0,0,380,347
CB03_01L,CB03_01L,,0,0,0,0,380,347
CB03_05L,CB03_11L,CB03_05L,209,170,224,247,380,347
CB03_06L,CB03_01L,CB03_06L,204,166,196,166,380,347
CB03_07L,CB03_01L,CB03_07L,210,166,190,166,380,347
CB03_08L,CB03_08L,,0,0,0,0,380,347
CB03_09L,CB03_09L,,0,0,0,0,380,347
CB03_10L,CB03_09L,CB03_10L,206,177,206,158,380,347
CB03_11L,CB03_11L,,0,0,0,0,380,347
CB03_12L,CB03_09L,CB03_12L,207,174,208,161,380,347
CB04_01L,CB06_01L,CB04_01L,213,226,183,72,380,347
CB04_05L,CB06_11L,CB04_05L,209,170,224,247,380,347
CB04_06L,CB06_01L,CB04_06L,204,166,196,166,380,347
CB04_07L,CB06_01L,CB04_07L,210,166,190,166,380,347
CB04_08L,CB06_08L,CB04_08L,213,226,183,72,380,347
CB04_09L,CB06_09L,CB04_09L,213,226,183,72,380,347
CB04_10L,CB06_09L,CB04_10L,206,177,206,158,380,347
CB04_11L,CB06_11L,CB04_11L,213,226,183,72,380,347
CB04_12L,CB06_09L,CB04_12L,207,174,208,161,380,347
CB06_01L,CB06_01L,,0,0,0,0,380,347
CB06_05L,CB06_11L,CB06_05L,209,170,224,247,380,347
CB06_06L,CB06_01L,CB06_06L,204,166,196,166,380,347
CB06_07L,CB06_01L,CB06_07L,210,166,190,166,380,347
CB06_08L,CB06_08L,,0,0,0,0,380,347
CB06_09L,CB06_09L,,0,0,0,0,380,347
CB06_10L,CB06_09L,CB06_10L,206,177,206,158,380,347
CB06_11L,CB06_11L,,0,0,0,0,380,347
CB06_12L,CB06_09L,CB06_12L,207,174,208,161,380,347
CB07_01L,CB07_01L,,0,0,0,0,380,347
CB07_05L,CB07_11L,CB07_05L,209,170,224,247,380,347
CB07_06L,CB07_01L,CB07_06L,204,166,196,166,380,347
CB07_07L,CB07_01L,CB07_07L,210,166,190,166,380,347
CB07_08L,CB07_08L,,0,0,0,0,380,347
CB07_09L,CB07_09L,,0,0,0,0,380,347
CB07_10L,CB07_09L,CB07_10L,206,177,206,158,380,347
CB07_11L,CB07_11L,,0,0,0,0,380,347
CB07_12L,CB07_09L,CB07_12L,207,174,208,161,380,347
