tag,base,diff,x,y,w,h,guidex,guidey
CB01_01M,CB01_01M,,0,0,0,0,212,260
CB01_05M,CB01_11M,CB01_05M,119,98,121,147,212,260
CB01_06M,CB01_01M,CB01_06M,117,96,105,90,212,260
CB01_07M,CB01_01M,CB01_07M,120,96,103,90,212,260
CB01_08M,CB01_08M,,0,0,0,0,212,260
CB01_09M,CB01_09M,,0,0,0,0,212,260
CB01_10M,CB01_09M,CB01_10M,117,102,112,86,212,260
CB01_11M,CB01_11M,,0,0,0,0,212,260
CB01_12M,CB01_12M,,0,0,0,0,212,260
CB02_01M,CB02_01M,,0,0,0,0,212,260
CB02_05M,CB02_11M,CB02_05M,119,98,121,134,212,260
CB02_06M,CB02_01M,CB02_06M,117,96,105,90,212,260
CB02_07M,CB02_01M,CB02_07M,120,96,103,90,212,260
CB02_08M,CB02_08M,,0,0,0,0,212,260
CB02_09M,CB02_09M,,0,0,0,0,212,260
CB02_10M,CB02_09M,CB02_10M,117,102,112,86,212,260
CB02_11M,CB02_11M,,0,0,0,0,212,260
CB02_12M,CB02_12M,,0,0,0,0,212,260
CB03_01M,CB03_01M,,0,0,0,0,212,260
CB03_05M,CB03_11M,CB03_05M,119,98,121,134,212,260
CB03_06M,CB03_01M,CB03_06M,117,96,105,90,212,260
CB03_07M,CB03_01M,CB03_07M,120,96,103,90,212,260
CB03_08M,CB03_08M,,0,0,0,0,212,260
CB03_09M,CB03_09M,,0,0,0,0,212,260
CB03_10M,CB03_09M,CB03_10M,117,102,112,86,212,260
CB03_11M,CB03_11M,,0,0,0,0,212,260
CB03_12M,CB03_09M,CB03_12M,118,102,112,86,212,260
CB04_01M,CB06_01M,CB04_01M,121,127,101,41,212,260
CB04_05M,CB06_11M,CB04_05M,119,98,121,133,212,260
CB04_06M,CB06_01M,CB04_06M,117,96,105,90,212,260
CB04_07M,CB06_01M,CB04_07M,120,96,103,90,212,260
CB04_08M,CB06_08M,CB04_08M,121,128,101,41,212,260
CB04_09M,CB06_09M,CB04_09M,121,129,101,39,212,260
CB04_10M,CB06_09M,CB04_10M,117,102,112,86,212,260
CB04_11M,CB06_11M,CB04_11M,121,128,100,40,212,260
CB04_12M,CB06_09M,CB04_12M,118,102,112,86,212,260
CB06_01M,CB06_01M,,0,0,0,0,212,260
CB06_05M,CB06_11M,CB06_05M,119,98,121,133,212,260
CB06_06M,CB06_01M,CB06_06M,117,96,105,90,212,260
CB06_07M,CB06_01M,CB06_07M,120,96,103,90,212,260
CB06_08M,CB06_08M,,0,0,0,0,212,260
CB06_09M,CB06_09M,,0,0,0,0,212,260
CB06_10M,CB06_09M,CB06_10M,117,102,112,86,212,260
CB06_11M,CB06_11M,,0,0,0,0,212,260
CB06_12M,CB06_09M,CB06_12M,118,102,112,86,212,260
CB07_01M,CB07_01M,,0,0,0,0,212,260
CB07_05M,CB07_11M,CB07_05M,119,98,121,134,212,260
CB07_06M,CB07_01M,CB07_06M,117,96,105,90,212,260
CB07_07M,CB07_01M,CB07_07M,120,96,103,90,212,260
CB07_08M,CB07_08M,,0,0,0,0,212,260
CB07_09M,CB07_09M,,0,0,0,0,212,260
CB07_10M,CB07_09M,CB07_10M,117,102,112,86,212,260
CB07_11M,CB07_11M,,0,0,0,0,212,260
CB07_12M,CB07_09M,CB07_12M,118,102,112,86,212,260
