tag,base,diff,x,y,w,h,guidex,guidey
CB01_01S,CB01_01S,,0,0,0,0,164,243
CB01_05S,CB01_11S,CB01_05S,93,78,90,109,164,243
CB01_06S,CB01_01S,CB01_06S,92,76,81,68,164,243
CB01_07S,CB01_01S,CB01_07S,94,76,79,68,164,243
CB01_08S,CB01_08S,,0,0,0,0,164,243
CB01_09S,CB01_10S,CB01_09S,92,82,84,64,164,243
CB01_10S,CB01_10S,,0,0,0,0,164,243
CB01_11S,CB01_11S,,0,0,0,0,164,243
CB01_12S,CB01_12S,,0,0,0,0,164,243
CB02_01S,CB02_01S,,0,0,0,0,164,243
CB02_05S,CB02_11S,CB02_05S,93,78,90,101,164,243
CB02_06S,CB02_01S,CB02_06S,92,76,81,68,164,243
CB02_07S,CB02_01S,CB02_07S,94,76,79,68,164,243
CB02_08S,CB02_08S,,0,0,0,0,164,243
CB02_09S,CB02_09S,,0,0,0,0,164,243
CB02_10S,CB02_09S,CB02_10S,92,82,84,64,164,243
CB02_11S,CB02_11S,,0,0,0,0,164,243
CB02_12S,CB02_12S,,0,0,0,0,164,243
CB03_01S,CB03_01S,,0,0,0,0,164,243
CB03_05S,CB03_11S,CB03_05S,93,78,90,101,164,243
CB03_06S,CB03_01S,CB03_06S,92,76,81,68,164,243
CB03_07S,CB03_01S,CB03_07S,94,76,79,68,164,243
CB03_08S,CB03_08S,,0,0,0,0,164,243
CB03_09S,CB03_09S,,0,0,0,0,164,243
CB03_10S,CB03_09S,CB03_10S,92,82,84,64,164,243
CB03_11S,CB03_11S,,0,0,0,0,164,243
CB03_12S,CB03_09S,CB03_12S,93,80,85,66,164,243
CB04_01S,CB06_01S,CB04_01S,94,100,77,33,164,243
CB04_05S,CB06_11S,CB04_05S,93,78,90,101,164,243
CB04_06S,CB06_01S,CB04_06S,92,76,81,68,164,243
CB04_07S,CB06_01S,CB04_07S,94,76,79,68,164,243
CB04_08S,CB06_08S,CB04_08S,94,99,77,34,164,243
CB04_09S,CB06_09S,CB04_09S,94,100,78,33,164,243
CB04_10S,CB06_09S,CB04_10S,92,82,84,64,164,243
CB04_11S,CB06_11S,CB04_11S,94,99,77,34,164,243
CB04_12S,CB06_09S,CB04_12S,93,80,85,66,164,243
CB06_01S,CB06_01S,,0,0,0,0,164,243
CB06_05S,CB06_11S,CB06_05S,93,78,90,101,164,243
CB06_06S,CB06_01S,CB06_06S,92,76,81,68,164,243
CB06_07S,CB06_01S,CB06_07S,94,76,79,68,164,243
CB06_08S,CB06_08S,,0,0,0,0,164,243
CB06_09S,CB06_09S,,0,0,0,0,164,243
CB06_10S,CB06_09S,CB06_10S,92,82,84,64,164,243
CB06_11S,CB06_11S,,0,0,0,0,164,243
CB06_12S,CB06_09S,CB06_12S,93,80,85,66,164,243
CB07_01S,CB07_01S,,0,0,0,0,164,243
CB07_05S,CB07_11S,CB07_05S,93,78,90,101,164,243
CB07_06S,CB07_01S,CB07_06S,92,76,81,68,164,243
CB07_07S,CB07_01S,CB07_07S,94,76,79,68,164,243
CB07_08S,CB07_08S,,0,0,0,0,164,243
CB07_09S,CB07_09S,,0,0,0,0,164,243
CB07_10S,CB07_09S,CB07_10S,92,82,84,64,164,243
CB07_11S,CB07_11S,,0,0,0,0,164,243
CB07_12S,CB07_09S,CB07_12S,93,80,85,66,164,243
