tag,base,diff,x,y,w,h,guidex,guidey
CB01_02L,CB01_02L,,0,0,0,0,420,352
CB01_03L,CB01_03L,,0,0,0,0,420,352
CB01_04L,CB01_04L,,0,0,0,0,420,352
CB01_13L,CB01_13L,,0,0,0,0,420,352
CB02_02L,CB02_02L,,0,0,0,0,420,352
CB02_03L,CB02_03L,,0,0,0,0,420,352
CB02_04L,CB02_04L,,0,0,0,0,420,352
CB02_13L,CB02_13L,,0,0,0,0,420,352
CB03_02L,CB03_02L,,0,0,0,0,420,352
CB03_03L,CB03_13L,CB03_03L,252,156,361,207,420,352
CB03_04L,CB03_04L,,0,0,0,0,420,352
CB03_13L,CB03_13L,,0,0,0,0,420,352
CB04_02L,CB06_02L,CB04_02L,305,227,194,69,420,352
CB04_03L,CB06_03L,CB04_03L,305,227,194,69,420,352
CB04_04L,CB06_04L,CB04_04L,305,227,194,69,420,352
CB04_13L,CB06_03L,CB04_13L,252,156,361,207,420,352
CB06_02L,CB06_02L,,0,0,0,0,420,352
CB06_03L,CB06_03L,,0,0,0,0,420,352
CB06_04L,CB06_04L,,0,0,0,0,420,352
CB06_13L,CB06_03L,CB06_13L,252,156,361,207,420,352
CB07_02L,CB07_02L,,0,0,0,0,420,352
CB07_03L,CB07_03L,,0,0,0,0,420,352
CB07_04L,CB07_04L,,0,0,0,0,420,352
CB07_13L,CB07_13L,,0,0,0,0,420,352
