tag,base,diff,x,y,w,h,guidex,guidey
CB01_02M,CB01_02M,,0,0,0,0,244,264
CB01_03M,CB01_03M,,0,0,0,0,244,264
CB01_04M,CB01_04M,,0,0,0,0,244,264
CB01_13M,CB01_13M,,0,0,0,0,244,264
CB02_02M,CB02_02M,,0,0,0,0,244,264
CB02_03M,CB02_03M,,0,0,0,0,244,264
CB02_04M,CB02_04M,,0,0,0,0,244,264
CB02_13M,CB02_13M,,0,0,0,0,244,264
CB03_02M,CB03_02M,,0,0,0,0,244,264
CB03_03M,CB03_13M,CB03_03M,143,91,194,112,244,264
CB03_04M,CB03_04M,,0,0,0,0,244,264
CB03_13M,CB03_13M,,0,0,0,0,244,264
CB04_02M,CB06_02M,CB04_02M,171,128,106,39,244,264
CB04_03M,CB06_03M,CB04_03M,171,128,106,39,244,264
CB04_04M,CB06_04M,CB04_04M,171,128,106,39,244,264
CB04_13M,CB06_03M,CB04_13M,143,91,194,112,244,264
CB06_02M,CB06_02M,,0,0,0,0,244,264
CB06_03M,CB06_03M,,0,0,0,0,244,264
CB06_04M,CB06_04M,,0,0,0,0,244,264
CB06_13M,CB06_03M,CB06_13M,143,91,194,112,244,264
CB07_02M,CB07_02M,,0,0,0,0,244,264
CB07_03M,CB07_03M,,0,0,0,0,244,264
CB07_04M,CB07_04M,,0,0,0,0,244,264
CB07_13M,CB07_03M,CB07_13M,143,91,194,143,244,264
