tag,base,diff,x,y,w,h,guidex,guidey
CB01_02S,CB01_02S,,0,0,0,0,189,245
CB01_03S,CB01_03S,,0,0,0,0,189,245
CB01_04S,CB01_04S,,0,0,0,0,189,245
CB01_13S,CB01_13S,,0,0,0,0,189,245
CB02_02S,CB02_02S,,0,0,0,0,189,245
CB02_03S,CB02_03S,,0,0,0,0,189,245
CB02_04S,CB02_04S,,0,0,0,0,189,245
CB02_13S,CB02_13S,,0,0,0,0,189,245
CB03_02S,CB03_02S,,0,0,0,0,189,245
CB03_03S,CB03_03S,,0,0,0,0,189,245
CB03_04S,CB03_04S,,0,0,0,0,189,245
CB03_13S,CB03_03S,CB03_13S,112,71,147,86,189,245
CB04_02S,CB06_02S,CB04_02S,133,99,81,32,189,245
CB04_03S,CB06_13S,CB04_03S,112,71,147,86,189,245
CB04_04S,CB06_04S,CB04_04S,133,100,81,31,189,245
CB04_13S,CB06_13S,CB04_13S,133,100,81,31,189,245
CB06_02S,CB06_02S,,0,0,0,0,189,245
CB06_03S,CB06_13S,CB06_03S,112,71,147,86,189,245
CB06_04S,CB06_04S,,0,0,0,0,189,245
CB06_13S,CB06_13S,,0,0,0,0,189,245
CB07_02S,CB07_02S,,0,0,0,0,189,245
CB07_03S,CB07_03S,,0,0,0,0,189,245
CB07_04S,CB07_04S,,0,0,0,0,189,245
CB07_13S,CB07_03S,CB07_13S,112,71,147,108,189,245
