tag,base,diff,x,y,w,h,guidex,guidey
CC01_01L,CC01_01L,,0,0,0,0,290,372
CC01_02L,CC01_01L,CC01_02L,179,257,218,155,290,372
CC01_03L,CC01_03L,,0,0,0,0,290,372
CC01_04L,CC01_04L,,0,0,0,0,290,372
CC01_09L,CC01_09L,,0,0,0,0,290,372
CC01_10L,CC01_10L,,0,0,0,0,290,372
CC01_12L,CC01_10L,CC01_12L,98,248,366,245,290,372
CC01_13L,CC01_01L,CC01_13L,177,257,220,158,290,372
CC02_01L,CC07_01L,CC02_01L,117,456,360,266,290,372
CC02_02L,CC02_02L,,0,0,0,0,290,372
CC02_03L,CC02_03L,,0,0,0,0,290,372
CC02_04L,CC02_04L,,0,0,0,0,290,372
CC02_09L,CC07_09L,CC02_09L,93,454,381,268,290,372
CC02_10L,CC02_10L,,0,0,0,0,290,372
CC02_12L,CC02_10L,CC02_12L,98,248,366,242,290,372
CC02_13L,CC04_13L,CC02_13L,102,456,376,266,290,372
CC04_01L,CC07_01L,CC04_01L,102,458,376,264,290,372
CC04_02L,CC04_13L,CC04_02L,177,264,220,151,290,372
CC04_03L,CC07_03L,CC04_03L,156,492,274,230,290,372
CC04_04L,CC07_04L,CC04_04L,156,426,268,296,290,372
CC04_09L,CC07_09L,CC04_09L,160,489,269,233,290,372
CC04_10L,CC07_10L,CC04_10L,156,492,274,230,290,372
CC04_12L,CC04_12L,,0,0,0,0,290,372
CC04_13L,CC04_13L,,0,0,0,0,290,372
CC05_01L,CC05_01L,,0,0,0,0,290,372
CC05_02L,CC08_01L,CC05_02L,179,257,218,155,290,372
CC05_03L,CC05_03L,,0,0,0,0,290,372
CC05_04L,CC05_04L,,0,0,0,0,290,372
CC05_09L,CC05_09L,,0,0,0,0,290,372
CC05_10L,CC05_10L,,0,0,0,0,290,372
CC05_12L,CC08_10L,CC05_12L,98,248,366,242,290,372
CC05_13L,CC08_01L,CC05_13L,177,257,220,158,290,372
CC07_01L,CC07_01L,,0,0,0,0,290,372
CC07_02L,CC07_01L,CC07_02L,179,257,218,155,290,372
CC07_03L,CC07_03L,,0,0,0,0,290,372
CC07_04L,CC07_04L,,0,0,0,0,290,372
CC07_09L,CC07_09L,,0,0,0,0,290,372
CC07_10L,CC07_10L,,0,0,0,0,290,372
CC07_12L,CC07_10L,CC07_12L,98,248,366,242,290,372
CC07_13L,CC07_01L,CC07_13L,177,257,220,158,290,372
CC08_01L,CC08_01L,,0,0,0,0,290,372
CC08_02L,CC08_01L,CC08_02L,179,257,218,155,290,372
CC08_03L,CC08_03L,,0,0,0,0,290,372
CC08_04L,CC08_04L,,0,0,0,0,290,372
CC08_09L,CC08_09L,,0,0,0,0,290,372
CC08_10L,CC08_10L,,0,0,0,0,290,372
CC08_12L,CC08_10L,CC08_12L,98,248,366,242,290,372
CC08_13L,CC08_01L,CC08_13L,177,257,220,158,290,372
