tag,base,diff,x,y,w,h,guidex,guidey
CC01_01M,CC01_01M,,0,0,0,0,288,355
CC01_02M,CC01_01M,CC01_02M,229,238,119,84,288,355
CC01_03M,CC01_10M,CC01_03M,205,135,179,231,288,355
CC01_04M,CC01_04M,,0,0,0,0,288,355
CC01_09M,CC01_09M,,0,0,0,0,288,355
CC01_10M,CC01_10M,,0,0,0,0,288,355
CC01_12M,CC01_10M,CC01_12M,187,232,197,134,288,355
CC01_13M,CC01_01M,CC01_13M,229,238,118,87,288,355
CC02_01M,CC02_01M,,0,0,0,0,288,355
CC02_02M,CC02_01M,CC02_02M,229,238,119,84,288,355
CC02_03M,CC02_10M,CC02_03M,205,135,179,229,288,355
CC02_04M,CC02_04M,,0,0,0,0,288,355
CC02_09M,CC02_09M,,0,0,0,0,288,355
CC02_10M,CC02_10M,,0,0,0,0,288,355
CC02_12M,CC02_10M,CC02_12M,187,232,197,132,288,355
CC02_13M,CC02_01M,CC02_13M,229,238,118,87,288,355
CC04_01M,CC04_01M,,0,0,0,0,288,355
CC04_02M,CC04_01M,CC04_02M,229,238,119,84,288,355
CC04_03M,CC04_12M,CC04_03M,187,135,185,219,288,355
CC04_04M,CC07_04M,CC04_04M,185,329,220,376,288,355
CC04_09M,CC07_09M,CC04_09M,183,363,222,342,288,355
CC04_10M,CC07_10M,CC04_10M,185,365,220,340,288,355
CC04_12M,CC04_12M,,0,0,0,0,288,355
CC04_13M,CC04_01M,CC04_13M,229,238,118,87,288,355
CC05_01M,CC08_01M,CC05_01M,197,672,184,33,288,355
CC05_02M,CC05_13M,CC05_02M,229,241,119,84,288,355
CC05_03M,CC05_12M,CC05_03M,187,135,185,219,288,355
CC05_04M,CC08_04M,CC05_04M,197,672,184,33,288,355
CC05_09M,CC08_09M,CC05_09M,197,672,185,33,288,355
CC05_10M,CC08_10M,CC05_10M,197,672,185,33,288,355
CC05_12M,CC05_12M,,0,0,0,0,288,355
CC05_13M,CC05_13M,,0,0,0,0,288,355
CC07_01M,CC07_01M,,0,0,0,0,288,355
CC07_02M,CC07_01M,CC07_02M,229,238,119,84,288,355
CC07_03M,CC07_10M,CC07_03M,205,135,179,229,288,355
CC07_04M,CC07_04M,,0,0,0,0,288,355
CC07_09M,CC07_09M,,0,0,0,0,288,355
CC07_10M,CC07_10M,,0,0,0,0,288,355
CC07_12M,CC07_10M,CC07_12M,187,232,197,132,288,355
CC07_13M,CC07_01M,CC07_13M,229,238,118,87,288,355
CC08_01M,CC08_01M,,0,0,0,0,288,355
CC08_02M,CC08_01M,CC08_02M,229,238,119,84,288,355
CC08_03M,CC08_10M,CC08_03M,205,135,179,229,288,355
CC08_04M,CC08_04M,,0,0,0,0,288,355
CC08_09M,CC08_09M,,0,0,0,0,288,355
CC08_10M,CC08_10M,,0,0,0,0,288,355
CC08_12M,CC08_10M,CC08_12M,187,232,197,132,288,355
CC08_13M,CC08_01M,CC08_13M,229,238,118,87,288,355
