tag,base,diff,x,y,w,h,guidex,guidey
CC01_01S,CC01_01S,,0,0,0,0,227,302
CC01_02S,CC01_01S,CC01_02S,177,182,90,65,227,302
CC01_03S,CC01_10S,CC01_03S,158,106,136,176,227,302
CC01_04S,CC01_04S,,0,0,0,0,227,302
CC01_09S,CC01_09S,,0,0,0,0,227,302
CC01_10S,CC01_10S,,0,0,0,0,227,302
CC01_12S,CC01_10S,CC01_12S,145,180,149,102,227,302
CC01_13S,CC01_01S,CC01_13S,176,182,91,68,227,302
CC02_01S,CC02_01S,,0,0,0,0,227,302
CC02_02S,CC02_01S,CC02_02S,177,182,90,65,227,302
CC02_03S,CC02_10S,CC02_03S,158,106,136,173,227,302
CC02_04S,CC02_04S,,0,0,0,0,227,302
CC02_09S,CC02_09S,,0,0,0,0,227,302
CC02_10S,CC02_10S,,0,0,0,0,227,302
CC02_12S,CC02_10S,CC02_12S,145,180,149,99,227,302
CC02_13S,CC02_01S,CC02_13S,176,182,91,68,227,302
CC04_01S,CC04_01S,,0,0,0,0,227,302
CC04_02S,CC04_01S,CC04_02S,177,182,90,65,227,302
CC04_03S,CC04_12S,CC04_03S,145,106,140,165,227,302
CC04_04S,CC07_04S,CC04_04S,139,252,170,317,227,302
CC04_09S,CC08_09S,CC04_09S,132,264,181,260,227,302
CC04_10S,CC07_10S,CC04_10S,139,278,170,313,227,302
CC04_12S,CC04_12S,,0,0,0,0,227,302
CC04_13S,CC04_01S,CC04_13S,176,182,91,68,227,302
CC05_01S,CC08_01S,CC05_01S,151,509,141,139,227,302
CC05_02S,CC05_13S,CC05_02S,176,185,91,65,227,302
CC05_03S,CC05_12S,CC05_03S,145,106,140,165,227,302
CC05_04S,CC08_04S,CC05_04S,151,509,142,40,227,302
CC05_09S,CC08_09S,CC05_09S,152,509,141,40,227,302
CC05_10S,CC08_10S,CC05_10S,151,509,142,82,227,302
CC05_12S,CC05_12S,,0,0,0,0,227,302
CC05_13S,CC05_13S,,0,0,0,0,227,302
CC07_01S,CC07_01S,,0,0,0,0,227,302
CC07_02S,CC07_01S,CC07_02S,177,182,90,65,227,302
CC07_03S,CC07_10S,CC07_03S,158,106,136,173,227,302
CC07_04S,CC07_04S,,0,0,0,0,227,302
CC07_09S,CC08_09S,CC07_09S,132,264,181,305,227,302
CC07_10S,CC07_10S,,0,0,0,0,227,302
CC07_12S,CC07_10S,CC07_12S,145,180,149,99,227,302
CC07_13S,CC07_01S,CC07_13S,176,182,91,68,227,302
CC08_01S,CC08_01S,,0,0,0,0,227,302
CC08_02S,CC08_01S,CC08_02S,177,182,90,65,227,302
CC08_03S,CC08_10S,CC08_03S,158,106,136,173,227,302
CC08_04S,CC08_04S,,0,0,0,0,227,302
CC08_09S,CC08_09S,,0,0,0,0,227,302
CC08_10S,CC08_10S,,0,0,0,0,227,302
CC08_12S,CC08_10S,CC08_12S,145,180,149,99,227,302
CC08_13S,CC08_01S,CC08_13S,176,182,91,68,227,302
