tag,base,diff,x,y,w,h,guidex,guidey
CC01_05L,CC01_05L,,0,0,0,0,318,284
CC01_06L,CC01_08L,CC01_06L,244,163,180,164,318,284
CC01_07L,CC01_08L,CC01_07L,244,183,180,144,318,284
CC01_08L,CC01_08L,,0,0,0,0,318,284
CC01_11L,CC01_08L,CC01_11L,231,172,194,164,318,284
CC01_14L,CC01_08L,CC01_14L,244,178,180,175,318,284
CC02_05L,CC02_05L,,0,0,0,0,318,284
CC02_06L,CC02_11L,CC02_06L,231,163,194,173,318,284
CC02_07L,CC02_11L,CC02_07L,231,172,217,238,318,284
CC02_08L,CC04_08L,CC02_08L,109,378,270,256,318,284
CC02_11L,CC02_11L,,0,0,0,0,318,284
CC02_14L,CC02_11L,CC02_14L,231,172,194,181,318,284
CC04_05L,CC07_05L,CC04_05L,122,361,296,273,318,284
CC04_06L,CC04_08L,CC04_06L,244,163,180,164,318,284
CC04_07L,CC07_07L,CC04_07L,121,362,297,272,318,284
CC04_08L,CC04_08L,,0,0,0,0,318,284
CC04_11L,CC04_08L,CC04_11L,231,172,194,164,318,284
CC04_14L,CC04_08L,CC04_14L,244,178,180,175,318,284
CC05_05L,CC05_05L,,0,0,0,0,318,284
CC05_06L,CC08_07L,CC05_06L,248,163,174,162,318,284
CC05_07L,CC05_07L,,0,0,0,0,318,284
CC05_08L,CC08_07L,CC05_08L,244,183,180,144,318,284
CC05_11L,CC08_07L,CC05_11L,231,172,194,164,318,284
CC05_14L,CC08_07L,CC05_14L,250,178,173,175,318,284
CC07_05L,CC07_05L,,0,0,0,0,318,284
CC07_06L,CC07_07L,CC07_06L,248,163,174,162,318,284
CC07_07L,CC07_07L,,0,0,0,0,318,284
CC07_08L,CC07_07L,CC07_08L,244,183,180,144,318,284
CC07_11L,CC07_07L,CC07_11L,231,172,194,164,318,284
CC07_14L,CC07_07L,CC07_14L,250,178,173,175,318,284
CC08_05L,CC08_05L,,0,0,0,0,318,284
CC08_06L,CC08_07L,CC08_06L,248,163,174,162,318,284
CC08_07L,CC08_07L,,0,0,0,0,318,284
CC08_08L,CC08_07L,CC08_08L,244,183,180,144,318,284
CC08_11L,CC08_07L,CC08_11L,231,172,194,164,318,284
CC08_14L,CC08_07L,CC08_14L,250,178,173,175,318,284
