tag,base,diff,x,y,w,h,guidex,guidey
CC01_05M,CC01_05M,,0,0,0,0,233,212
CC01_06M,CC01_08M,CC01_06M,221,95,97,89,233,212
CC01_07M,CC01_08M,CC01_07M,221,105,97,79,233,212
CC01_08M,CC01_08M,,0,0,0,0,233,212
CC01_11M,CC01_08M,CC01_11M,215,99,104,90,233,212
CC01_14M,CC01_08M,CC01_14M,221,103,97,94,233,212
CC02_05M,CC02_05M,,0,0,0,0,233,212
CC02_06M,CC02_11M,CC02_06M,215,95,104,94,233,212
CC02_07M,CC02_11M,CC02_07M,215,99,116,129,233,212
CC02_08M,CC02_11M,CC02_08M,215,99,104,90,233,212
CC02_11M,CC02_11M,,0,0,0,0,233,212
CC02_14M,CC02_11M,CC02_14M,215,99,104,98,233,212
CC04_05M,CC04_05M,,0,0,0,0,233,212
CC04_06M,CC04_07M,CC04_06M,222,95,95,88,233,212
CC04_07M,CC04_07M,,0,0,0,0,233,212
CC04_08M,CC04_07M,CC04_08M,221,105,97,79,233,212
CC04_11M,CC04_07M,CC04_11M,215,99,104,90,233,212
CC04_14M,CC04_07M,CC04_14M,224,103,94,94,233,212
CC05_05M,CC08_05M,CC05_05M,80,485,173,71,233,212
CC05_06M,CC05_08M,CC05_06M,221,95,97,89,233,212
CC05_07M,CC08_07M,CC05_07M,80,485,172,75,233,212
CC05_08M,CC05_08M,,0,0,0,0,233,212
CC05_11M,CC05_08M,CC05_11M,215,99,104,90,233,212
CC05_14M,CC05_08M,CC05_14M,221,103,97,94,233,212
CC07_05M,CC07_05M,,0,0,0,0,233,212
CC07_06M,CC07_08M,CC07_06M,221,95,97,89,233,212
CC07_07M,CC07_08M,CC07_07M,221,105,97,79,233,212
CC07_08M,CC07_08M,,0,0,0,0,233,212
CC07_11M,CC07_08M,CC07_11M,215,99,104,90,233,212
CC07_14M,CC07_08M,CC07_14M,221,103,97,94,233,212
CC08_05M,CC08_05M,,0,0,0,0,233,212
CC08_06M,CC08_07M,CC08_06M,222,95,95,88,233,212
CC08_07M,CC08_07M,,0,0,0,0,233,212
CC08_08M,CC08_07M,CC08_08M,221,105,97,79,233,212
CC08_11M,CC08_07M,CC08_11M,215,99,104,90,233,212
CC08_14M,CC08_07M,CC08_14M,224,103,94,94,233,212
