tag,base,diff,x,y,w,h,guidex,guidey
CC01_05S,CC01_05S,,0,0,0,0,174,192
CC01_06S,CC01_08S,CC01_06S,170,74,75,68,174,192
CC01_07S,CC01_08S,CC01_07S,170,82,75,60,174,192
CC01_08S,CC01_08S,,0,0,0,0,174,192
CC01_11S,CC01_08S,CC01_11S,166,77,79,69,174,192
CC01_14S,CC01_08S,CC01_14S,170,80,75,72,174,192
CC02_05S,CC02_05S,,0,0,0,0,174,192
CC02_06S,CC02_07S,CC02_06S,171,74,83,102,174,192
CC02_07S,CC02_07S,,0,0,0,0,174,192
CC02_08S,CC02_07S,CC02_08S,170,82,84,94,174,192
CC02_11S,CC02_07S,CC02_11S,166,77,88,99,174,192
CC02_14S,CC02_07S,CC02_14S,173,80,81,96,174,192
CC04_05S,CC04_05S,,0,0,0,0,174,192
CC04_06S,CC04_07S,CC04_06S,171,74,73,68,174,192
CC04_07S,CC04_07S,,0,0,0,0,174,192
CC04_08S,CC04_07S,CC04_08S,170,82,75,60,174,192
CC04_11S,CC04_07S,CC04_11S,166,77,79,69,174,192
CC04_14S,CC04_07S,CC04_14S,173,80,72,72,174,192
CC05_05S,CC08_05S,CC05_05S,64,369,131,55,174,192
CC05_06S,CC05_07S,CC05_06S,171,74,73,68,174,192
CC05_07S,CC05_07S,,0,0,0,0,174,192
CC05_08S,CC05_07S,CC05_08S,170,82,75,60,174,192
CC05_11S,CC05_07S,CC05_11S,166,77,79,69,174,192
CC05_14S,CC05_07S,CC05_14S,173,80,72,72,174,192
CC07_05S,CC07_05S,,0,0,0,0,174,192
CC07_06S,CC07_08S,CC07_06S,170,74,75,68,174,192
CC07_07S,CC07_08S,CC07_07S,170,82,75,60,174,192
CC07_08S,CC07_08S,,0,0,0,0,174,192
CC07_11S,CC07_08S,CC07_11S,166,77,79,69,174,192
CC07_14S,CC07_08S,CC07_14S,170,80,75,72,174,192
CC08_05S,CC08_05S,,0,0,0,0,174,192
CC08_06S,CC08_08S,CC08_06S,170,74,75,68,174,192
CC08_07S,CC08_08S,CC08_07S,170,82,75,60,174,192
CC08_08S,CC08_08S,,0,0,0,0,174,192
CC08_11S,CC08_08S,CC08_11S,166,77,79,69,174,192
CC08_14S,CC08_08S,CC08_14S,170,80,75,72,174,192
