tag,base,diff,x,y,w,h,guidex,guidey
CD01_01L,CD01_01L,,0,0,0,0,484,347
CD01_04L,CD01_01L,CD01_04L,299,154,221,170,484,347
CD01_06L,CD01_06L,,0,0,0,0,484,347
CD01_08L,CD01_08L,,0,0,0,0,484,347
CD01_10L,CD01_10L,,0,0,0,0,484,347
CD01_12L,CD01_12L,,0,0,0,0,484,347
CD01_13L,CD01_13L,,0,0,0,0,484,347
CD02_01L,CD02_01L,,0,0,0,0,484,347
CD02_04L,CD02_01L,CD02_04L,299,154,221,170,484,347
CD02_06L,CD02_06L,,0,0,0,0,484,347
CD02_08L,CD02_08L,,0,0,0,0,484,347
CD02_10L,CD02_10L,,0,0,0,0,484,347
CD02_12L,CD02_12L,,0,0,0,0,484,347
CD02_13L,CD02_13L,,0,0,0,0,484,347
CD03_01L,CD03_01L,,0,0,0,0,484,347
CD03_04L,CD03_01L,CD03_04L,299,154,221,170,484,347
CD03_06L,CD03_06L,,0,0,0,0,484,347
CD03_08L,CD03_08L,,0,0,0,0,484,347
CD03_10L,CD03_10L,,0,0,0,0,484,347
CD03_12L,CD03_12L,,0,0,0,0,484,347
CD03_13L,CD03_13L,,0,0,0,0,484,347
CD04_01L,CD04_01L,,0,0,0,0,484,347
CD04_04L,CD04_01L,CD04_04L,299,154,221,170,484,347
CD04_06L,CD04_06L,,0,0,0,0,484,347
CD04_08L,CD04_08L,,0,0,0,0,484,347
CD04_10L,CD04_10L,,0,0,0,0,484,347
CD04_12L,CD04_12L,,0,0,0,0,484,347
CD04_13L,CD04_13L,,0,0,0,0,484,347
CD05_01L,CD05_01L,,0,0,0,0,484,347
CD05_04L,CD07_01L,CD05_04L,299,154,221,170,484,347
CD05_06L,CD05_06L,,0,0,0,0,484,347
CD05_08L,CD05_08L,,0,0,0,0,484,347
CD05_10L,CD05_10L,,0,0,0,0,484,347
CD05_12L,CD05_12L,,0,0,0,0,484,347
CD05_13L,CD05_13L,,0,0,0,0,484,347
CD06_01L,CD06_01L,,0,0,0,0,484,347
CD06_04L,CD06_01L,CD06_04L,299,154,221,170,484,347
CD06_06L,CD06_06L,,0,0,0,0,484,347
CD06_08L,CD06_08L,,0,0,0,0,484,347
CD06_10L,CD06_10L,,0,0,0,0,484,347
CD06_12L,CD06_12L,,0,0,0,0,484,347
CD06_13L,CD06_13L,,0,0,0,0,484,347
CD07_01L,CD07_01L,,0,0,0,0,484,347
CD07_04L,CD07_01L,CD07_04L,299,154,221,170,484,347
CD07_06L,CD07_06L,,0,0,0,0,484,347
CD07_08L,CD07_08L,,0,0,0,0,484,347
CD07_10L,CD07_10L,,0,0,0,0,484,347
CD07_12L,CD07_12L,,0,0,0,0,484,347
CD07_13L,CD07_13L,,0,0,0,0,484,347
