tag,base,diff,x,y,w,h,guidex,guidey
CD01_01M,CD01_01M,,0,0,0,0,282,256
CD01_04M,CD01_01M,CD01_04M,189,90,120,91,282,256
CD01_06M,CD01_06M,,0,0,0,0,282,256
CD01_08M,CD01_08M,,0,0,0,0,282,256
CD01_10M,CD01_10M,,0,0,0,0,282,256
CD01_12M,CD01_12M,,0,0,0,0,282,256
CD01_13M,CD01_13M,,0,0,0,0,282,256
CD02_01M,CD02_01M,,0,0,0,0,282,256
CD02_04M,CD02_01M,CD02_04M,189,90,120,91,282,256
CD02_06M,CD02_06M,,0,0,0,0,282,256
CD02_08M,CD02_08M,,0,0,0,0,282,256
CD02_10M,CD02_10M,,0,0,0,0,282,256
CD02_12M,CD02_12M,,0,0,0,0,282,256
CD02_13M,CD02_13M,,0,0,0,0,282,256
CD03_01M,CD03_01M,,0,0,0,0,282,256
CD03_04M,CD03_01M,CD03_04M,189,90,120,91,282,256
CD03_06M,CD03_06M,,0,0,0,0,282,256
CD03_08M,CD03_08M,,0,0,0,0,282,256
CD03_10M,CD03_10M,,0,0,0,0,282,256
CD03_12M,CD03_12M,,0,0,0,0,282,256
CD03_13M,CD03_13M,,0,0,0,0,282,256
CD04_01M,CD04_01M,,0,0,0,0,282,256
CD04_04M,CD04_01M,CD04_04M,189,90,120,91,282,256
CD04_06M,CD04_06M,,0,0,0,0,282,256
CD04_08M,CD04_08M,,0,0,0,0,282,256
CD04_10M,CD04_10M,,0,0,0,0,282,256
CD04_12M,CD04_12M,,0,0,0,0,282,256
CD04_13M,CD04_13M,,0,0,0,0,282,256
CD05_01M,CD07_01M,CD05_01M,160,548,187,58,282,256
CD05_04M,CD05_04M,,0,0,0,0,282,256
CD05_06M,CD07_06M,CD05_06M,159,548,188,58,282,256
CD05_08M,CD07_08M,CD05_08M,159,548,188,58,282,256
CD05_10M,CD07_10M,CD05_10M,162,548,185,58,282,256
CD05_12M,CD07_12M,CD05_12M,162,548,185,58,282,256
CD05_13M,CD07_13M,CD05_13M,160,548,187,58,282,256
CD06_01M,CD06_01M,,0,0,0,0,282,256
CD06_04M,CD06_01M,CD06_04M,189,90,120,91,282,256
CD06_06M,CD06_06M,,0,0,0,0,282,256
CD06_08M,CD06_08M,,0,0,0,0,282,256
CD06_10M,CD06_10M,,0,0,0,0,282,256
CD06_12M,CD06_12M,,0,0,0,0,282,256
CD06_13M,CD06_13M,,0,0,0,0,282,256
CD07_01M,CD07_01M,,0,0,0,0,282,256
CD07_04M,CD07_01M,CD07_04M,189,90,120,91,282,256
CD07_06M,CD07_06M,,0,0,0,0,282,256
CD07_08M,CD07_08M,,0,0,0,0,282,256
CD07_10M,CD07_10M,,0,0,0,0,282,256
CD07_12M,CD07_12M,,0,0,0,0,282,256
CD07_13M,CD07_13M,,0,0,0,0,282,256
