tag,base,diff,x,y,w,h,guidex,guidey
CD01_01S,CD01_01S,,0,0,0,0,217,244
CD01_04S,CD01_01S,CD01_04S,146,71,92,70,217,244
CD01_06S,CD01_06S,,0,0,0,0,217,244
CD01_08S,CD01_08S,,0,0,0,0,217,244
CD01_10S,CD01_10S,,0,0,0,0,217,244
CD01_12S,CD01_12S,,0,0,0,0,217,244
CD01_13S,CD01_13S,,0,0,0,0,217,244
CD02_01S,CD02_01S,,0,0,0,0,217,244
CD02_04S,CD02_01S,CD02_04S,146,71,92,70,217,244
CD02_06S,CD02_06S,,0,0,0,0,217,244
CD02_08S,CD02_08S,,0,0,0,0,217,244
CD02_10S,CD02_10S,,0,0,0,0,217,244
CD02_12S,CD02_12S,,0,0,0,0,217,244
CD02_13S,CD02_13S,,0,0,0,0,217,244
CD03_01S,CD03_01S,,0,0,0,0,217,244
CD03_04S,CD03_01S,CD03_04S,146,71,92,70,217,244
CD03_06S,CD03_06S,,0,0,0,0,217,244
CD03_08S,CD03_08S,,0,0,0,0,217,244
CD03_10S,CD03_10S,,0,0,0,0,217,244
CD03_12S,CD03_12S,,0,0,0,0,217,244
CD03_13S,CD03_13S,,0,0,0,0,217,244
CD04_01S,CD04_01S,,0,0,0,0,217,244
CD04_04S,CD04_01S,CD04_04S,146,71,92,70,217,244
CD04_06S,CD04_06S,,0,0,0,0,217,244
CD04_08S,CD04_08S,,0,0,0,0,217,244
CD04_10S,CD04_10S,,0,0,0,0,217,244
CD04_12S,CD04_12S,,0,0,0,0,217,244
CD04_13S,CD04_13S,,0,0,0,0,217,244
CD05_01S,CD07_01S,CD05_01S,125,416,141,59,217,244
CD05_04S,CD05_04S,,0,0,0,0,217,244
CD05_06S,CD07_06S,CD05_06S,124,416,142,79,217,244
CD05_08S,CD07_08S,CD05_08S,124,416,142,79,217,244
CD05_10S,CD07_10S,CD05_10S,126,416,141,72,217,244
CD05_12S,CD07_12S,CD05_12S,126,416,140,59,217,244
CD05_13S,CD07_13S,CD05_13S,125,416,141,178,217,244
CD06_01S,CD06_01S,,0,0,0,0,217,244
CD06_04S,CD06_01S,CD06_04S,146,71,92,70,217,244
CD06_06S,CD06_06S,,0,0,0,0,217,244
CD06_08S,CD06_08S,,0,0,0,0,217,244
CD06_10S,CD06_10S,,0,0,0,0,217,244
CD06_12S,CD06_12S,,0,0,0,0,217,244
CD06_13S,CD06_13S,,0,0,0,0,217,244
CD07_01S,CD07_01S,,0,0,0,0,217,244
CD07_04S,CD07_01S,CD07_04S,146,71,92,70,217,244
CD07_06S,CD07_06S,,0,0,0,0,217,244
CD07_08S,CD07_08S,,0,0,0,0,217,244
CD07_10S,CD07_10S,,0,0,0,0,217,244
CD07_12S,CD07_12S,,0,0,0,0,217,244
CD07_13S,CD07_13S,,0,0,0,0,217,244
