tag,base,diff,x,y,w,h,guidex,guidey
CD01_02M,CD01_02M,,0,0,0,0,190,256
CD01_03M,CD01_03M,,0,0,0,0,190,256
CD01_05M,CD01_05M,,0,0,0,0,190,256
CD01_07M,CD01_07M,,0,0,0,0,190,256
CD01_09M,CD01_09M,,0,0,0,0,190,256
CD01_11M,CD01_07M,CD01_11M,132,97,128,123,190,256
CD02_02M,CD02_02M,,0,0,0,0,190,256
CD02_03M,CD02_03M,,0,0,0,0,190,256
CD02_05M,CD02_02M,CD02_05M,116,38,147,146,190,256
CD02_07M,CD02_07M,,0,0,0,0,190,256
CD02_09M,CD02_09M,,0,0,0,0,190,256
CD02_11M,CD02_07M,CD02_11M,132,97,128,123,190,256
CD03_02M,CD03_02M,,0,0,0,0,190,256
CD03_03M,CD03_03M,,0,0,0,0,190,256
CD03_05M,CD03_02M,CD03_05M,116,38,147,146,190,256
CD03_07M,CD03_07M,,0,0,0,0,190,256
CD03_09M,CD03_09M,,0,0,0,0,190,256
CD03_11M,CD03_07M,CD03_11M,132,97,128,82,190,256
CD04_02M,CD04_02M,,0,0,0,0,190,256
CD04_03M,CD04_03M,,0,0,0,0,190,256
CD04_05M,CD04_02M,CD04_05M,116,38,147,146,190,256
CD04_07M,CD04_07M,,0,0,0,0,190,256
CD04_09M,CD04_09M,,0,0,0,0,190,256
CD04_11M,CD04_07M,CD04_11M,132,97,128,82,190,256
CD05_02M,CD07_02M,CD05_02M,109,530,189,76,190,256
CD05_03M,CD07_03M,CD05_03M,109,530,218,76,190,256
CD05_05M,CD05_05M,,0,0,0,0,190,256
CD05_07M,CD07_07M,CD05_07M,109,530,189,76,190,256
CD05_09M,CD07_09M,CD05_09M,109,530,189,76,190,256
CD05_11M,CD05_11M,,0,0,0,0,190,256
CD06_02M,CD06_02M,,0,0,0,0,190,256
CD06_03M,CD06_03M,,0,0,0,0,190,256
CD06_05M,CD06_02M,CD06_05M,116,38,147,146,190,256
CD06_07M,CD06_07M,,0,0,0,0,190,256
CD06_09M,CD06_09M,,0,0,0,0,190,256
CD06_11M,CD06_07M,CD06_11M,132,97,128,82,190,256
CD07_02M,CD07_02M,,0,0,0,0,190,256
CD07_03M,CD07_03M,,0,0,0,0,190,256
CD07_05M,CD07_02M,CD07_05M,116,38,147,146,190,256
CD07_07M,CD07_07M,,0,0,0,0,190,256
CD07_09M,CD07_09M,,0,0,0,0,190,256
CD07_11M,CD07_07M,CD07_11M,132,97,128,82,190,256
