tag,base,diff,x,y,w,h,guidex,guidey
CD01_02S,CD01_02S,,0,0,0,0,167,243
CD01_03S,CD01_03S,,0,0,0,0,167,243
CD01_05S,CD01_05S,,0,0,0,0,167,243
CD01_07S,CD01_07S,,0,0,0,0,167,243
CD01_09S,CD01_09S,,0,0,0,0,167,243
CD01_11S,CD01_07S,CD01_11S,105,78,96,92,167,243
CD02_02S,CD02_02S,,0,0,0,0,167,243
CD02_03S,CD02_03S,,0,0,0,0,167,243
CD02_05S,CD02_02S,CD02_05S,92,33,111,110,167,243
CD02_07S,CD02_07S,,0,0,0,0,167,243
CD02_09S,CD02_09S,,0,0,0,0,167,243
CD02_11S,CD02_07S,CD02_11S,105,78,96,92,167,243
CD03_02S,CD03_02S,,0,0,0,0,167,243
CD03_03S,CD03_03S,,0,0,0,0,167,243
CD03_05S,CD03_02S,CD03_05S,92,33,111,110,167,243
CD03_07S,CD03_07S,,0,0,0,0,167,243
CD03_09S,CD03_09S,,0,0,0,0,167,243
CD03_11S,CD03_07S,CD03_11S,105,78,96,62,167,243
CD04_02S,CD04_02S,,0,0,0,0,167,243
CD04_03S,CD04_03S,,0,0,0,0,167,243
CD04_05S,CD04_02S,CD04_05S,92,33,111,110,167,243
CD04_07S,CD04_07S,,0,0,0,0,167,243
CD04_09S,CD04_09S,,0,0,0,0,167,243
CD04_11S,CD04_07S,CD04_11S,105,78,96,62,167,243
CD05_02S,CD07_02S,CD05_02S,87,404,143,64,167,243
CD05_03S,CD07_03S,CD05_03S,87,404,165,74,167,243
CD05_05S,CD05_05S,,0,0,0,0,167,243
CD05_07S,CD05_07S,,0,0,0,0,167,243
CD05_09S,CD07_09S,CD05_09S,87,404,143,64,167,243
CD05_11S,CD07_11S,CD05_11S,87,404,143,64,167,243
CD06_02S,CD06_02S,,0,0,0,0,167,243
CD06_03S,CD06_03S,,0,0,0,0,167,243
CD06_05S,CD06_02S,CD06_05S,92,33,111,110,167,243
CD06_07S,CD06_11S,CD06_07S,105,78,96,62,167,243
CD06_09S,CD06_09S,,0,0,0,0,167,243
CD06_11S,CD06_11S,,0,0,0,0,167,243
CD07_02S,CD07_02S,,0,0,0,0,167,243
CD07_03S,CD07_03S,,0,0,0,0,167,243
CD07_05S,CD07_02S,CD07_05S,92,33,111,110,167,243
CD07_07S,CD07_11S,CD07_07S,105,78,96,62,167,243
CD07_09S,CD07_09S,,0,0,0,0,167,243
CD07_11S,CD07_11S,,0,0,0,0,167,243
