tag,base,diff,x,y,w,h,guidex,guidey
CE01_02L,CE01_02L,,0,0,0,0,259,363
CE01_04L,CE01_02L,CE01_04L,101,183,214,179,259,363
CE01_07L,CE01_07L,,0,0,0,0,259,363
CE01_10L,CE01_10L,,0,0,0,0,259,363
CE01_11L,CE01_11L,,0,0,0,0,259,363
CE02_02L,CE02_02L,,0,0,0,0,259,363
CE02_04L,CE02_02L,CE02_04L,101,181,214,179,259,363
CE02_07L,CE02_07L,,0,0,0,0,259,363
CE02_10L,CE02_10L,,0,0,0,0,259,363
CE02_11L,CE02_11L,,0,0,0,0,259,363
CE03_02L,CE03_02L,,0,0,0,0,259,363
CE03_04L,CE03_02L,CE03_04L,101,181,214,179,259,363
CE03_07L,CE03_07L,,0,0,0,0,259,363
CE03_10L,CE03_10L,,0,0,0,0,259,363
CE03_11L,CE03_11L,,0,0,0,0,259,363
CE04_02L,CE04_02L,,0,0,0,0,259,363
CE04_04L,CE04_02L,CE04_04L,101,181,214,179,259,363
CE04_07L,CE04_07L,,0,0,0,0,259,363
CE04_10L,CE04_10L,,0,0,0,0,259,363
CE04_11L,CE04_11L,,0,0,0,0,259,363
