tag,base,diff,x,y,w,h,guidex,guidey
CE01_02M,CE01_02M,,0,0,0,0,217,269
CE01_04M,CE01_02M,CE01_04M,135,106,117,96,217,269
CE01_07M,CE01_07M,,0,0,0,0,217,269
CE01_10M,CE01_10M,,0,0,0,0,217,269
CE01_11M,CE01_11M,,0,0,0,0,217,269
CE02_02M,CE02_02M,,0,0,0,0,217,269
CE02_04M,CE02_02M,CE02_04M,135,105,117,97,217,269
CE02_07M,CE02_07M,,0,0,0,0,217,269
CE02_10M,CE02_10M,,0,0,0,0,217,269
CE02_11M,CE02_11M,,0,0,0,0,217,269
CE03_02M,CE03_02M,,0,0,0,0,217,269
CE03_04M,CE03_02M,CE03_04M,135,105,117,97,217,269
CE03_07M,CE03_07M,,0,0,0,0,217,269
CE03_10M,CE03_10M,,0,0,0,0,217,269
CE03_11M,CE03_11M,,0,0,0,0,217,269
CE04_02M,CE04_02M,,0,0,0,0,217,269
CE04_04M,CE04_02M,CE04_04M,135,105,117,97,217,269
CE04_07M,CE04_07M,,0,0,0,0,217,269
CE04_10M,CE04_10M,,0,0,0,0,217,269
CE04_11M,CE04_11M,,0,0,0,0,217,269
