tag,base,diff,x,y,w,h,guidex,guidey
CE01_02S,CE01_02S,,0,0,0,0,210,246
CE01_04S,CE01_02S,CE01_04S,162,84,91,74,210,246
CE01_07S,CE01_07S,,0,0,0,0,210,246
CE01_10S,CE01_10S,,0,0,0,0,210,246
CE01_11S,CE01_11S,,0,0,0,0,210,246
CE02_02S,CE02_02S,,0,0,0,0,210,246
CE02_04S,CE02_02S,CE02_04S,162,82,90,76,210,246
CE02_07S,CE02_07S,,0,0,0,0,210,246
CE02_10S,CE02_10S,,0,0,0,0,210,246
CE02_11S,CE02_11S,,0,0,0,0,210,246
CE03_02S,CE03_02S,,0,0,0,0,210,246
CE03_04S,CE03_02S,CE03_04S,162,82,90,76,210,246
CE03_07S,CE03_07S,,0,0,0,0,210,246
CE03_10S,CE03_10S,,0,0,0,0,210,246
CE03_11S,CE03_11S,,0,0,0,0,210,246
CE04_02S,CE04_02S,,0,0,0,0,210,246
CE04_04S,CE04_02S,CE04_04S,162,82,90,76,210,246
CE04_07S,CE04_07S,,0,0,0,0,210,246
CE04_10S,CE04_10S,,0,0,0,0,210,246
CE04_11S,CE04_11S,,0,0,0,0,210,246
