tag,base,diff,x,y,w,h,guidex,guidey
CE01_01L,CE01_01L,,0,0,0,0,307,372
CE01_03L,CE01_06L,CE01_03L,195,198,199,165,307,372
CE01_05L,CE01_05L,,0,0,0,0,307,372
CE01_06L,CE01_06L,,0,0,0,0,307,372
CE01_08L,CE01_08L,,0,0,0,0,307,372
CE01_09L,CE01_01L,CE01_09L,199,201,193,159,307,372
CE01_12L,CE01_01L,CE01_12L,160,192,238,223,307,372
CE02_01L,CE02_01L,,0,0,0,0,307,372
CE02_03L,CE02_06L,CE02_03L,195,198,199,165,307,372
CE02_05L,CE02_05L,,0,0,0,0,307,372
CE02_06L,CE02_06L,,0,0,0,0,307,372
CE02_08L,CE02_08L,,0,0,0,0,307,372
CE02_09L,CE02_01L,CE02_09L,199,201,193,159,307,372
CE02_12L,CE02_01L,CE02_12L,160,192,238,223,307,372
CE03_01L,CE03_01L,,0,0,0,0,307,372
CE03_03L,CE03_06L,CE03_03L,195,198,199,165,307,372
CE03_05L,CE03_05L,,0,0,0,0,307,372
CE03_06L,CE03_06L,,0,0,0,0,307,372
CE03_08L,CE03_08L,,0,0,0,0,307,372
CE03_09L,CE03_01L,CE03_09L,199,201,193,159,307,372
CE03_12L,CE03_01L,CE03_12L,160,192,238,223,307,372
CE04_01L,CE04_01L,,0,0,0,0,307,372
CE04_03L,CE04_06L,CE04_03L,195,198,199,165,307,372
CE04_05L,CE04_05L,,0,0,0,0,307,372
CE04_06L,CE04_06L,,0,0,0,0,307,372
CE04_08L,CE04_08L,,0,0,0,0,307,372
CE04_09L,CE04_01L,CE04_09L,199,201,193,159,307,372
CE04_12L,CE04_01L,CE04_12L,160,192,238,223,307,372
