tag,base,diff,x,y,w,h,guidex,guidey
CE01_01M,CE01_01M,,0,0,0,0,192,274
CE01_03M,CE01_06M,CE01_03M,152,113,107,90,192,274
CE01_05M,CE01_05M,,0,0,0,0,192,274
CE01_06M,CE01_06M,,0,0,0,0,192,274
CE01_08M,CE01_08M,,0,0,0,0,192,274
CE01_09M,CE01_01M,CE01_09M,154,115,105,86,192,274
CE01_12M,CE01_01M,CE01_12M,134,110,127,120,192,274
CE02_01M,CE02_01M,,0,0,0,0,192,274
CE02_03M,CE02_06M,CE02_03M,152,113,107,90,192,274
CE02_05M,CE02_05M,,0,0,0,0,192,274
CE02_06M,CE02_06M,,0,0,0,0,192,274
CE02_08M,CE02_08M,,0,0,0,0,192,274
CE02_09M,CE02_01M,CE02_09M,153,115,106,86,192,274
CE02_12M,CE02_01M,CE02_12M,134,110,127,120,192,274
CE03_01M,CE03_01M,,0,0,0,0,192,274
CE03_03M,CE03_06M,CE03_03M,152,113,107,90,192,274
CE03_05M,CE03_05M,,0,0,0,0,192,274
CE03_06M,CE03_06M,,0,0,0,0,192,274
CE03_08M,CE03_08M,,0,0,0,0,192,274
CE03_09M,CE03_01M,CE03_09M,153,115,106,86,192,274
CE03_12M,CE03_01M,CE03_12M,134,110,127,120,192,274
CE04_01M,CE04_01M,,0,0,0,0,192,274
CE04_03M,CE04_06M,CE04_03M,152,113,107,90,192,274
CE04_05M,CE04_05M,,0,0,0,0,192,274
CE04_06M,CE04_06M,,0,0,0,0,192,274
CE04_08M,CE04_08M,,0,0,0,0,192,274
CE04_09M,CE04_01M,CE04_09M,153,115,106,86,192,274
CE04_12M,CE04_01M,CE04_12M,134,110,127,120,192,274
