tag,base,diff,x,y,w,h,guidex,guidey
CE01_01S,CE01_01S,,0,0,0,0,208,247
CE01_03S,CE01_06S,CE01_03S,187,89,81,68,208,247
CE01_05S,CE01_05S,,0,0,0,0,208,247
CE01_06S,CE01_06S,,0,0,0,0,208,247
CE01_08S,CE01_08S,,0,0,0,0,208,247
CE01_09S,CE01_01S,CE01_09S,189,90,80,65,208,247
CE01_12S,CE01_01S,CE01_12S,174,86,96,92,208,247
CE02_01S,CE02_01S,,0,0,0,0,208,247
CE02_03S,CE02_06S,CE02_03S,186,89,82,68,208,247
CE02_05S,CE02_05S,,0,0,0,0,208,247
CE02_06S,CE02_06S,,0,0,0,0,208,247
CE02_08S,CE02_08S,,0,0,0,0,208,247
CE02_09S,CE02_01S,CE02_09S,188,90,81,65,208,247
CE02_12S,CE02_01S,CE02_12S,174,86,96,92,208,247
CE03_01S,CE03_01S,,0,0,0,0,208,247
CE03_03S,CE03_03S,,0,0,0,0,208,247
CE03_05S,CE03_05S,,0,0,0,0,208,247
CE03_06S,CE03_03S,CE03_06S,186,89,82,68,208,247
CE03_08S,CE03_08S,,0,0,0,0,208,247
CE03_09S,CE03_01S,CE03_09S,188,90,81,65,208,247
CE03_12S,CE03_01S,CE03_12S,174,86,96,92,208,247
CE04_01S,CE04_01S,,0,0,0,0,208,247
CE04_03S,CE04_06S,CE04_03S,186,89,82,68,208,247
CE04_05S,CE04_05S,,0,0,0,0,208,247
CE04_06S,CE04_06S,,0,0,0,0,208,247
CE04_08S,CE04_08S,,0,0,0,0,208,247
CE04_09S,CE04_01S,CE04_09S,188,90,81,65,208,247
CE04_12S,CE04_01S,CE04_12S,174,86,96,92,208,247
