tag,base,diff,x,y,w,h,guidex,guidey
CF01_01L,CF01_01L,,0,0,0,0,457,367
CF01_02L,CF01_01L,CF01_02L,327,125,216,243,457,367
CF01_03L,CF01_04L,CF01_03L,286,129,204,201,457,367
CF01_04L,CF01_04L,,0,0,0,0,457,367
CF01_07L,CF01_01L,CF01_07L,327,136,161,219,457,367
CF01_08L,CF01_01L,CF01_08L,327,131,164,193,457,367
CF02_01L,CF02_01L,,0,0,0,0,457,367
CF02_02L,CF02_01L,CF02_02L,327,125,216,243,457,367
CF02_03L,CF02_03L,,0,0,0,0,457,367
CF02_04L,CF02_03L,CF02_04L,286,129,204,201,457,367
CF02_07L,CF02_01L,CF02_07L,327,136,161,219,457,367
CF02_08L,CF02_01L,CF02_08L,327,131,164,193,457,367
CF03_01L,CF03_01L,,0,0,0,0,457,367
CF03_02L,CF03_01L,CF03_02L,327,126,216,242,457,367
CF03_03L,CF03_03L,,0,0,0,0,457,367
CF03_04L,CF03_03L,CF03_04L,286,130,204,200,457,367
CF03_07L,CF03_01L,CF03_07L,327,135,161,220,457,367
CF03_08L,CF03_01L,CF03_08L,327,131,164,193,457,367
CF04_01L,CF04_01L,,0,0,0,0,457,367
CF04_02L,CF06_01L,CF04_02L,327,125,216,243,457,367
CF04_03L,CF04_03L,,0,0,0,0,457,367
CF04_04L,CF06_03L,CF04_04L,286,129,204,201,457,367
CF04_07L,CF06_01L,CF04_07L,327,136,161,219,457,367
CF04_08L,CF06_01L,CF04_08L,327,131,164,193,457,367
CF05_01L,CF05_01L,,0,0,0,0,457,367
CF05_02L,CF05_01L,CF05_02L,327,125,216,243,457,367
CF05_03L,CF05_03L,,0,0,0,0,457,367
CF05_04L,CF05_03L,CF05_04L,286,129,204,201,457,367
CF05_07L,CF05_01L,CF05_07L,327,136,161,219,457,367
CF05_08L,CF05_01L,CF05_08L,327,131,164,193,457,367
CF06_01L,CF06_01L,,0,0,0,0,457,367
CF06_02L,CF06_01L,CF06_02L,327,125,216,243,457,367
CF06_03L,CF06_03L,,0,0,0,0,457,367
CF06_04L,CF06_03L,CF06_04L,286,129,204,201,457,367
CF06_07L,CF06_01L,CF06_07L,327,136,161,219,457,367
CF06_08L,CF06_01L,CF06_08L,327,131,164,193,457,367
