tag,base,diff,x,y,w,h,guidex,guidey
CF01_01M,CF01_01M,,0,0,0,0,258,325
CF01_02M,CF01_01M,CF01_02M,183,74,117,131,258,325
CF01_03M,CF01_03M,,0,0,0,0,258,325
CF01_04M,CF01_03M,CF01_04M,160,76,110,109,258,325
CF01_07M,CF01_01M,CF01_07M,183,80,87,118,258,325
CF01_08M,CF01_01M,CF01_08M,183,77,89,105,258,325
CF02_01M,CF02_01M,,0,0,0,0,258,325
CF02_02M,CF02_01M,CF02_02M,183,74,117,131,258,325
CF02_03M,CF02_03M,,0,0,0,0,258,325
CF02_04M,CF02_03M,CF02_04M,160,76,110,109,258,325
CF02_07M,CF02_01M,CF02_07M,183,80,87,118,258,325
CF02_08M,CF02_01M,CF02_08M,183,77,89,105,258,325
CF03_01M,CF03_01M,,0,0,0,0,258,325
CF03_02M,CF03_01M,CF03_02M,183,75,117,130,258,325
CF03_03M,CF03_04M,CF03_03M,160,76,110,109,258,325
CF03_04M,CF03_04M,,0,0,0,0,258,325
CF03_07M,CF03_01M,CF03_07M,183,79,87,119,258,325
CF03_08M,CF03_01M,CF03_08M,183,77,89,105,258,325
CF04_01M,CF06_01M,CF04_01M,134,511,245,164,258,325
CF04_02M,CF04_07M,CF04_02M,183,74,117,131,258,325
CF04_03M,CF04_04M,CF04_03M,160,76,110,109,258,325
CF04_04M,CF04_04M,,0,0,0,0,258,325
CF04_07M,CF04_07M,,0,0,0,0,258,325
CF04_08M,CF04_07M,CF04_08M,183,77,89,121,258,325
CF05_01M,CF05_01M,,0,0,0,0,258,325
CF05_02M,CF05_01M,CF05_02M,183,74,117,131,258,325
CF05_03M,CF05_03M,,0,0,0,0,258,325
CF05_04M,CF05_03M,CF05_04M,160,76,110,109,258,325
CF05_07M,CF05_01M,CF05_07M,183,80,87,118,258,325
CF05_08M,CF05_01M,CF05_08M,183,77,89,105,258,325
CF06_01M,CF06_01M,,0,0,0,0,258,325
CF06_02M,CF06_01M,CF06_02M,183,74,117,131,258,325
CF06_03M,CF06_03M,,0,0,0,0,258,325
CF06_04M,CF06_03M,CF06_04M,160,76,110,109,258,325
CF06_07M,CF06_01M,CF06_07M,183,80,87,118,258,325
CF06_08M,CF06_01M,CF06_08M,183,77,89,105,258,325
