tag,base,diff,x,y,w,h,guidex,guidey
CF01_01S,CF01_01S,,0,0,0,0,198,311
CF01_02S,CF01_01S,CF01_02S,141,60,90,99,198,311
CF01_03S,CF01_04S,CF01_03S,124,61,84,84,198,311
CF01_04S,CF01_04S,,0,0,0,0,198,311
CF01_07S,CF01_01S,CF01_07S,141,64,67,89,198,311
CF01_08S,CF01_01S,CF01_08S,141,62,68,78,198,311
CF02_01S,CF02_01S,,0,0,0,0,198,311
CF02_02S,CF02_01S,CF02_02S,141,60,90,99,198,311
CF02_03S,CF02_03S,,0,0,0,0,198,311
CF02_04S,CF02_03S,CF02_04S,124,61,84,84,198,311
CF02_07S,CF02_01S,CF02_07S,141,64,67,89,198,311
CF02_08S,CF02_01S,CF02_08S,141,62,68,78,198,311
CF03_01S,CF03_01S,,0,0,0,0,198,311
CF03_02S,CF03_01S,CF03_02S,141,60,89,99,198,311
CF03_03S,CF03_03S,,0,0,0,0,198,311
CF03_04S,CF03_03S,CF03_04S,124,61,84,83,198,311
CF03_07S,CF03_01S,CF03_07S,141,64,67,89,198,311
CF03_08S,CF03_01S,CF03_08S,141,63,68,77,198,311
CF04_01S,CF04_01S,,0,0,0,0,198,311
CF04_02S,CF04_01S,CF04_02S,141,60,90,99,198,311
CF04_03S,CF04_04S,CF04_03S,124,61,84,84,198,311
CF04_04S,CF04_04S,,0,0,0,0,198,311
CF04_07S,CF04_01S,CF04_07S,141,64,67,89,198,311
CF04_08S,CF04_01S,CF04_08S,141,62,68,78,198,311
CF05_01S,CF05_01S,,0,0,0,0,198,311
CF05_02S,CF05_01S,CF05_02S,141,60,90,99,198,311
CF05_03S,CF05_03S,,0,0,0,0,198,311
CF05_04S,CF05_03S,CF05_04S,124,61,84,84,198,311
CF05_07S,CF05_01S,CF05_07S,141,64,67,89,198,311
CF05_08S,CF05_01S,CF05_08S,141,62,68,78,198,311
CF06_01S,CF06_01S,,0,0,0,0,198,311
CF06_02S,CF06_01S,CF06_02S,141,60,90,99,198,311
CF06_03S,CF06_03S,,0,0,0,0,198,311
CF06_04S,CF06_03S,CF06_04S,124,61,84,84,198,311
CF06_07S,CF06_01S,CF06_07S,141,64,67,89,198,311
CF06_08S,CF06_01S,CF06_08S,141,62,68,78,198,311
