tag,base,diff,x,y,w,h,guidex,guidey
CF01_05L,CF01_05L,,0,0,0,0,522,388
CF01_06L,CF01_06L,,0,0,0,0,522,388
CF01_09L,CF01_09L,,0,0,0,0,522,388
CF01_10L,CF01_10L,,0,0,0,0,522,388
CF02_05L,CF02_05L,,0,0,0,0,522,388
CF02_06L,CF02_06L,,0,0,0,0,522,388
CF02_09L,CF02_09L,,0,0,0,0,522,388
CF02_10L,CF02_09L,CF02_10L,407,140,255,239,522,388
CF03_05L,CF03_05L,,0,0,0,0,522,388
CF03_06L,CF03_06L,,0,0,0,0,522,388
CF03_09L,CF03_09L,,0,0,0,0,522,388
CF03_10L,CF03_10L,,0,0,0,0,522,388
CF04_05L,CF04_05L,,0,0,0,0,522,388
CF04_06L,CF04_06L,,0,0,0,0,522,388
CF04_09L,CF04_09L,,0,0,0,0,522,388
CF04_10L,CF06_09L,CF04_10L,407,140,255,239,522,388
CF05_05L,CF05_05L,,0,0,0,0,522,388
CF05_06L,CF05_06L,,0,0,0,0,522,388
CF05_09L,CF05_09L,,0,0,0,0,522,388
CF05_10L,CF05_09L,CF05_10L,407,140,255,239,522,388
CF06_05L,CF06_05L,,0,0,0,0,522,388
CF06_06L,CF06_06L,,0,0,0,0,522,388
CF06_09L,CF06_09L,,0,0,0,0,522,388
CF06_10L,CF06_09L,CF06_10L,407,140,255,239,522,388
