tag,base,diff,x,y,w,h,guidex,guidey
CF01_05M,CF01_05M,,0,0,0,0,295,338
CF01_06M,CF01_06M,,0,0,0,0,295,338
CF01_09M,CF01_09M,,0,0,0,0,295,338
CF01_10M,CF01_10M,,0,0,0,0,295,338
CF02_05M,CF02_05M,,0,0,0,0,295,338
CF02_06M,CF02_06M,,0,0,0,0,295,338
CF02_09M,CF02_09M,,0,0,0,0,295,338
CF02_10M,CF02_09M,CF02_10M,226,83,137,129,295,338
CF03_05M,CF03_05M,,0,0,0,0,295,338
CF03_06M,CF03_06M,,0,0,0,0,295,338
CF03_09M,CF03_09M,,0,0,0,0,295,338
CF03_10M,CF03_10M,,0,0,0,0,295,338
CF04_05M,CF06_05M,CF04_05M,167,526,259,162,295,338
CF04_06M,CF04_06M,,0,0,0,0,295,338
CF04_09M,CF06_09M,CF04_09M,167,525,259,163,295,338
CF04_10M,CF04_10M,,0,0,0,0,295,338
CF05_05M,CF05_05M,,0,0,0,0,295,338
CF05_06M,CF05_06M,,0,0,0,0,295,338
CF05_09M,CF05_09M,,0,0,0,0,295,338
CF05_10M,CF05_09M,CF05_10M,226,83,137,129,295,338
CF06_05M,CF06_05M,,0,0,0,0,295,338
CF06_06M,CF06_06M,,0,0,0,0,295,338
CF06_09M,CF06_09M,,0,0,0,0,295,338
CF06_10M,CF06_09M,CF06_10M,226,83,137,129,295,338
