tag,base,diff,x,y,w,h,guidex,guidey
CF01_05S,CF01_05S,,0,0,0,0,226,320
CF01_06S,CF01_06S,,0,0,0,0,226,320
CF01_09S,CF01_09S,,0,0,0,0,226,320
CF01_10S,CF01_10S,,0,0,0,0,226,320
CF02_05S,CF02_05S,,0,0,0,0,226,320
CF02_06S,CF02_06S,,0,0,0,0,226,320
CF02_09S,CF02_09S,,0,0,0,0,226,320
CF02_10S,CF02_09S,CF02_10S,174,67,104,98,226,320
CF03_05S,CF03_05S,,0,0,0,0,226,320
CF03_06S,CF03_06S,,0,0,0,0,226,320
CF03_09S,CF03_09S,,0,0,0,0,226,320
CF03_10S,CF03_10S,,0,0,0,0,226,320
CF04_05S,CF04_05S,,0,0,0,0,226,320
CF04_06S,CF04_06S,,0,0,0,0,226,320
CF04_09S,CF04_09S,,0,0,0,0,226,320
CF04_10S,CF04_09S,CF04_10S,174,67,104,98,226,320
CF05_05S,CF05_05S,,0,0,0,0,226,320
CF05_06S,CF05_06S,,0,0,0,0,226,320
CF05_09S,CF05_09S,,0,0,0,0,226,320
CF05_10S,CF05_09S,CF05_10S,174,67,104,98,226,320
CF06_05S,CF06_05S,,0,0,0,0,226,320
CF06_06S,CF06_06S,,0,0,0,0,226,320
CF06_09S,CF06_09S,,0,0,0,0,226,320
CF06_10S,CF06_09S,CF06_10S,174,67,104,98,226,320
