tag,base,diff,x,y,w,h,guidex,guidey
CG01_01L,CG01_01L,,0,0,0,0,493,394
CG01_02L,CG01_05L,CG01_02L,284,226,319,254,493,394
CG01_03L,CG01_06L,CG01_03L,367,210,226,261,493,394
CG01_04L,CG01_01L,CG01_04L,376,228,221,271,493,394
CG01_05L,CG01_05L,,0,0,0,0,493,394
CG01_06L,CG01_06L,,0,0,0,0,493,394
CG01_07L,CG01_01L,CG01_07L,364,226,239,246,493,394
CG01_08L,CG01_08L,,0,0,0,0,493,394
CG02_01L,CG02_01L,,0,0,0,0,493,394
CG02_02L,CG02_05L,CG02_02L,284,226,318,163,493,394
CG02_03L,CG02_06L,CG02_03L,371,210,224,171,493,394
CG02_04L,CG02_01L,CG02_04L,375,227,222,140,493,394
CG02_05L,CG02_05L,,0,0,0,0,493,394
CG02_06L,CG02_06L,,0,0,0,0,493,394
CG02_07L,CG02_01L,CG02_07L,364,225,239,141,493,394
CG02_08L,CG02_08L,,0,0,0,0,493,394
CG03_01L,CG03_01L,,0,0,0,0,493,394
CG03_02L,CG03_05L,CG03_02L,284,226,317,163,493,394
CG03_03L,CG03_06L,CG03_03L,371,210,222,171,493,394
CG03_04L,CG03_01L,CG03_04L,376,228,221,139,493,394
CG03_05L,CG03_05L,,0,0,0,0,493,394
CG03_06L,CG03_06L,,0,0,0,0,493,394
CG03_07L,CG03_01L,CG03_07L,363,226,241,140,493,394
CG03_08L,CG03_08L,,0,0,0,0,493,394
