tag,base,diff,x,y,w,h,guidex,guidey
CG01_01M,CG01_01M,,0,0,0,0,269,284
CG01_02M,CG01_02M,,0,0,0,0,269,284
CG01_03M,CG01_06M,CG01_03M,204,119,123,143,269,284
CG01_04M,CG01_01M,CG01_04M,210,129,119,147,269,284
CG01_05M,CG01_02M,CG01_05M,160,129,172,137,269,284
CG01_06M,CG01_06M,,0,0,0,0,269,284
CG01_07M,CG01_01M,CG01_07M,203,129,129,134,269,284
CG01_08M,CG01_08M,,0,0,0,0,269,284
CG02_01M,CG02_01M,,0,0,0,0,269,284
CG02_02M,CG02_05M,CG02_02M,160,128,171,90,269,284
CG02_03M,CG02_06M,CG02_03M,206,120,122,94,269,284
CG02_04M,CG02_01M,CG02_04M,208,129,120,77,269,284
CG02_05M,CG02_05M,,0,0,0,0,269,284
CG02_06M,CG02_06M,,0,0,0,0,269,284
CG02_07M,CG02_01M,CG02_07M,202,130,130,76,269,284
CG02_08M,CG02_08M,,0,0,0,0,269,284
CG03_01M,CG03_01M,,0,0,0,0,269,284
CG03_02M,CG03_05M,CG03_02M,160,129,172,89,269,284
CG03_03M,CG03_06M,CG03_03M,207,120,119,94,269,284
CG03_04M,CG03_01M,CG03_04M,210,130,118,76,269,284
CG03_05M,CG03_05M,,0,0,0,0,269,284
CG03_06M,CG03_06M,,0,0,0,0,269,284
CG03_07M,CG03_01M,CG03_07M,202,129,129,77,269,284
CG03_08M,CG03_08M,,0,0,0,0,269,284
