tag,base,diff,x,y,w,h,guidex,guidey
CG01_01S,CG01_01S,,0,0,0,0,187,265
CG01_02S,CG01_05S,CG01_02S,124,101,131,104,187,265
CG01_03S,CG01_06S,CG01_03S,156,94,95,108,187,265
CG01_04S,CG01_01S,CG01_04S,162,101,89,112,187,265
CG01_05S,CG01_05S,,0,0,0,0,187,265
CG01_06S,CG01_06S,,0,0,0,0,187,265
CG01_07S,CG01_01S,CG01_07S,157,101,98,102,187,265
CG01_08S,CG01_08S,,0,0,0,0,187,265
CG02_01S,CG02_01S,,0,0,0,0,187,265
CG02_02S,CG02_05S,CG02_02S,124,101,131,67,187,265
CG02_03S,CG02_06S,CG02_03S,159,94,92,71,187,265
CG02_04S,CG02_01S,CG02_04S,161,100,90,60,187,265
CG02_05S,CG02_05S,,0,0,0,0,187,265
CG02_06S,CG02_06S,,0,0,0,0,187,265
CG02_07S,CG02_01S,CG02_07S,156,101,98,59,187,265
CG02_08S,CG02_08S,,0,0,0,0,187,265
CG03_01S,CG03_01S,,0,0,0,0,187,265
CG03_02S,CG03_05S,CG03_02S,124,101,130,67,187,265
CG03_03S,CG03_06S,CG03_03S,160,94,90,71,187,265
CG03_04S,CG03_01S,CG03_04S,161,101,90,59,187,265
CG03_05S,CG03_05S,,0,0,0,0,187,265
CG03_06S,CG03_06S,,0,0,0,0,187,265
CG03_07S,CG03_01S,CG03_07S,155,101,98,59,187,265
CG03_08S,CG03_08S,,0,0,0,0,187,265
