tag,base,diff,x,y,w,h,guidex,guidey
CH01_01L,CH01_01L,,0,0,0,0,294,317
CH01_02L,CH01_01L,CH01_02L,163,164,231,156,294,317
CH01_03L,CH01_01L,CH01_03L,168,172,226,168,294,317
CH01_04L,CH01_04L,,0,0,0,0,294,317
CH01_05L,CH01_07L,CH01_05L,161,158,230,171,294,317
CH01_06L,CH01_01L,CH01_06L,168,166,226,154,294,317
CH01_07L,CH01_07L,,0,0,0,0,294,317
CH01_08L,CH01_07L,CH01_08L,161,172,233,151,294,317
CH01_09L,CH01_01L,CH01_09L,168,157,226,162,294,317
CH01_10L,CH01_10L,,0,0,0,0,294,317
CH01_11L,CH01_11L,,0,0,0,0,294,317
CH02_01L,CH02_01L,,0,0,0,0,294,317
CH02_02L,CH02_01L,CH02_02L,163,164,231,156,294,317
CH02_03L,CH02_01L,CH02_03L,168,172,226,168,294,317
CH02_04L,CH02_11L,CH02_04L,162,175,230,193,294,317
CH02_05L,CH02_01L,CH02_05L,168,158,226,211,294,317
CH02_06L,CH02_01L,CH02_06L,168,166,226,154,294,317
CH02_07L,CH02_01L,CH02_07L,161,172,233,197,294,317
CH02_08L,CH02_01L,CH02_08L,168,172,226,197,294,317
CH02_09L,CH02_01L,CH02_09L,168,157,226,162,294,317
CH02_10L,CH02_10L,,0,0,0,0,294,317
CH02_11L,CH02_11L,,0,0,0,0,294,317
CH04_01L,CH04_01L,,0,0,0,0,294,317
CH04_02L,CH04_01L,CH04_02L,163,164,231,156,294,317
CH04_03L,CH04_01L,CH04_03L,168,172,226,168,294,317
CH04_04L,CH04_11L,CH04_04L,162,175,230,194,294,317
CH04_05L,CH04_01L,CH04_05L,168,158,226,211,294,317
CH04_06L,CH04_01L,CH04_06L,168,166,226,154,294,317
CH04_07L,CH04_01L,CH04_07L,161,172,233,197,294,317
CH04_08L,CH04_01L,CH04_08L,168,172,226,197,294,317
CH04_09L,CH04_01L,CH04_09L,168,157,226,162,294,317
CH04_10L,CH04_10L,,0,0,0,0,294,317
CH04_11L,CH04_11L,,0,0,0,0,294,317
CH05_01L,CH05_01L,,0,0,0,0,294,317
CH05_02L,CH07_01L,CH05_02L,163,164,231,156,294,317
CH05_03L,CH07_01L,CH05_03L,168,172,226,168,294,317
CH05_04L,CH07_11L,CH05_04L,162,175,230,194,294,317
CH05_05L,CH07_01L,CH05_05L,168,158,226,211,294,317
CH05_06L,CH07_01L,CH05_06L,168,166,226,154,294,317
CH05_07L,CH07_01L,CH05_07L,161,172,233,197,294,317
CH05_08L,CH07_01L,CH05_08L,168,172,226,197,294,317
CH05_09L,CH07_01L,CH05_09L,168,157,226,162,294,317
CH05_10L,CH05_10L,,0,0,0,0,294,317
CH05_11L,CH05_11L,,0,0,0,0,294,317
CH06_01L,CH06_01L,,0,0,0,0,294,317
CH06_02L,CH06_01L,CH06_02L,163,164,231,156,294,317
CH06_03L,CH06_01L,CH06_03L,168,172,226,168,294,317
CH06_04L,CH06_11L,CH06_04L,162,175,230,194,294,317
CH06_05L,CH06_01L,CH06_05L,168,158,226,210,294,317
CH06_06L,CH06_01L,CH06_06L,168,166,226,154,294,317
CH06_07L,CH06_01L,CH06_07L,161,172,233,196,294,317
CH06_08L,CH06_01L,CH06_08L,168,172,226,196,294,317
CH06_09L,CH06_01L,CH06_09L,168,157,226,162,294,317
CH06_10L,CH06_10L,,0,0,0,0,294,317
CH06_11L,CH06_11L,,0,0,0,0,294,317
CH07_01L,CH07_01L,,0,0,0,0,294,317
CH07_02L,CH07_01L,CH07_02L,163,164,231,156,294,317
CH07_03L,CH07_01L,CH07_03L,168,172,226,168,294,317
CH07_04L,CH07_11L,CH07_04L,162,175,230,194,294,317
CH07_05L,CH07_01L,CH07_05L,168,158,226,211,294,317
CH07_06L,CH07_01L,CH07_06L,168,166,226,154,294,317
CH07_07L,CH07_01L,CH07_07L,161,172,233,197,294,317
CH07_08L,CH07_01L,CH07_08L,168,172,226,197,294,317
CH07_09L,CH07_01L,CH07_09L,168,157,226,162,294,317
CH07_10L,CH07_10L,,0,0,0,0,294,317
CH07_11L,CH07_11L,,0,0,0,0,294,317
