tag,base,diff,x,y,w,h,guidex,guidey
CH01_01M,CH01_01M,,0,0,0,0,183,234
CH01_02M,CH01_01M,CH01_02M,93,95,127,84,183,234
CH01_03M,CH01_01M,CH01_03M,97,99,123,92,183,234
CH01_04M,CH01_04M,,0,0,0,0,183,234
CH01_05M,CH01_08M,CH01_05M,97,91,123,93,183,234
CH01_06M,CH01_01M,CH01_06M,97,96,123,83,183,234
CH01_07M,CH01_08M,CH01_07M,92,98,128,82,183,234
CH01_08M,CH01_08M,,0,0,0,0,183,234
CH01_09M,CH01_01M,CH01_09M,97,92,123,88,183,234
CH01_10M,CH01_10M,,0,0,0,0,183,234
CH01_11M,CH01_11M,,0,0,0,0,183,234
CH02_01M,CH02_01M,,0,0,0,0,183,234
CH02_02M,CH02_01M,CH02_02M,93,95,127,84,183,234
CH02_03M,CH02_01M,CH02_03M,97,99,123,92,183,234
CH02_04M,CH02_11M,CH02_04M,95,101,123,104,183,234
CH02_05M,CH02_01M,CH02_05M,97,91,123,114,183,234
CH02_06M,CH02_01M,CH02_06M,97,96,123,83,183,234
CH02_07M,CH02_01M,CH02_07M,92,98,128,107,183,234
CH02_08M,CH02_01M,CH02_08M,97,99,123,106,183,234
CH02_09M,CH02_01M,CH02_09M,97,92,123,88,183,234
CH02_10M,CH02_10M,,0,0,0,0,183,234
CH02_11M,CH02_11M,,0,0,0,0,183,234
CH04_01M,CH04_01M,,0,0,0,0,183,234
CH04_02M,CH04_01M,CH04_02M,93,95,127,84,183,234
CH04_03M,CH04_01M,CH04_03M,97,99,123,92,183,234
CH04_04M,CH04_11M,CH04_04M,95,101,123,104,183,234
CH04_05M,CH04_01M,CH04_05M,97,91,123,114,183,234
CH04_06M,CH04_01M,CH04_06M,97,96,123,83,183,234
CH04_07M,CH04_01M,CH04_07M,92,98,128,107,183,234
CH04_08M,CH04_01M,CH04_08M,97,99,123,106,183,234
CH04_09M,CH04_01M,CH04_09M,97,92,123,88,183,234
CH04_10M,CH04_10M,,0,0,0,0,183,234
CH04_11M,CH04_11M,,0,0,0,0,183,234
CH05_01M,CH07_01M,CH05_01M,84,529,189,55,183,234
CH05_02M,CH05_05M,CH05_02M,93,91,125,114,183,234
CH05_03M,CH05_05M,CH05_03M,97,91,121,114,183,234
CH05_04M,CH05_04M,,0,0,0,0,183,234
CH05_05M,CH05_05M,,0,0,0,0,183,234
CH05_06M,CH05_05M,CH05_06M,97,91,121,114,183,234
CH05_07M,CH05_05M,CH05_07M,92,91,126,93,183,234
CH05_08M,CH05_05M,CH05_08M,97,91,123,93,183,234
CH05_09M,CH05_05M,CH05_09M,98,91,120,114,183,234
CH05_10M,CH07_10M,CH05_10M,84,529,189,55,183,234
CH05_11M,CH07_11M,CH05_11M,84,529,189,55,183,234
CH06_01M,CH06_01M,,0,0,0,0,183,234
CH06_02M,CH06_01M,CH06_02M,93,95,127,84,183,234
CH06_03M,CH06_01M,CH06_03M,97,99,123,92,183,234
CH06_04M,CH06_11M,CH06_04M,95,101,123,104,183,234
CH06_05M,CH06_01M,CH06_05M,97,91,123,114,183,234
CH06_06M,CH06_01M,CH06_06M,97,96,123,83,183,234
CH06_07M,CH06_01M,CH06_07M,92,98,128,107,183,234
CH06_08M,CH06_01M,CH06_08M,97,99,123,106,183,234
CH06_09M,CH06_01M,CH06_09M,97,92,123,88,183,234
CH06_10M,CH06_10M,,0,0,0,0,183,234
CH06_11M,CH06_11M,,0,0,0,0,183,234
CH07_01M,CH07_01M,,0,0,0,0,183,234
CH07_02M,CH07_01M,CH07_02M,93,95,127,84,183,234
CH07_03M,CH07_01M,CH07_03M,97,99,123,92,183,234
CH07_04M,CH07_11M,CH07_04M,95,101,123,104,183,234
CH07_05M,CH07_01M,CH07_05M,97,91,123,114,183,234
CH07_06M,CH07_01M,CH07_06M,97,96,123,83,183,234
CH07_07M,CH07_01M,CH07_07M,92,98,128,107,183,234
CH07_08M,CH07_01M,CH07_08M,97,99,123,106,183,234
CH07_09M,CH07_01M,CH07_09M,97,92,123,88,183,234
CH07_10M,CH07_10M,,0,0,0,0,183,234
CH07_11M,CH07_11M,,0,0,0,0,183,234
