tag,base,diff,x,y,w,h,guidex,guidey
CH01_01S,CH01_01S,,0,0,0,0,131,219
CH01_02S,CH01_01S,CH01_02S,75,75,94,65,131,219
CH01_03S,CH01_01S,CH01_03S,76,78,93,71,131,219
CH01_04S,CH01_04S,,0,0,0,0,131,219
CH01_05S,CH01_07S,CH01_05S,73,72,96,72,131,219
CH01_06S,CH01_01S,CH01_06S,76,76,93,63,131,219
CH01_07S,CH01_07S,,0,0,0,0,131,219
CH01_08S,CH01_07S,CH01_08S,73,78,97,62,131,219
CH01_09S,CH01_01S,CH01_09S,76,73,93,67,131,219
CH01_10S,CH01_10S,,0,0,0,0,131,219
CH01_11S,CH01_11S,,0,0,0,0,131,219
CH02_01S,CH02_01S,,0,0,0,0,131,219
CH02_02S,CH02_01S,CH02_02S,75,75,94,65,131,219
CH02_03S,CH02_01S,CH02_03S,76,78,93,71,131,219
CH02_04S,CH02_11S,CH02_04S,74,79,95,81,131,219
CH02_05S,CH02_01S,CH02_05S,76,72,93,88,131,219
CH02_06S,CH02_01S,CH02_06S,76,76,93,63,131,219
CH02_07S,CH02_01S,CH02_07S,73,78,96,82,131,219
CH02_08S,CH02_01S,CH02_08S,76,78,94,82,131,219
CH02_09S,CH02_01S,CH02_09S,76,73,93,67,131,219
CH02_10S,CH02_10S,,0,0,0,0,131,219
CH02_11S,CH02_11S,,0,0,0,0,131,219
CH04_01S,CH04_01S,,0,0,0,0,131,219
CH04_02S,CH04_01S,CH04_02S,75,75,94,65,131,219
CH04_03S,CH04_01S,CH04_03S,76,78,93,71,131,219
CH04_04S,CH04_11S,CH04_04S,74,79,95,80,131,219
CH04_05S,CH04_01S,CH04_05S,76,72,93,88,131,219
CH04_06S,CH04_01S,CH04_06S,76,76,93,63,131,219
CH04_07S,CH04_01S,CH04_07S,73,78,96,82,131,219
CH04_08S,CH04_01S,CH04_08S,76,78,94,82,131,219
CH04_09S,CH04_01S,CH04_09S,76,73,93,67,131,219
CH04_10S,CH04_10S,,0,0,0,0,131,219
CH04_11S,CH04_11S,,0,0,0,0,131,219
CH05_01S,CH07_01S,CH05_01S,67,402,143,56,131,219
CH05_02S,CH05_05S,CH05_02S,75,72,94,88,131,219
CH05_03S,CH05_05S,CH05_03S,77,72,92,88,131,219
CH05_04S,CH05_04S,,0,0,0,0,131,219
CH05_05S,CH05_05S,,0,0,0,0,131,219
CH05_06S,CH05_05S,CH05_06S,77,72,92,88,131,219
CH05_07S,CH05_05S,CH05_07S,73,72,96,72,131,219
CH05_08S,CH05_05S,CH05_08S,77,72,93,72,131,219
CH05_09S,CH05_05S,CH05_09S,78,72,91,88,131,219
CH05_10S,CH07_10S,CH05_10S,68,402,142,56,131,219
CH05_11S,CH07_11S,CH05_11S,68,402,142,56,131,219
CH06_01S,CH06_01S,,0,0,0,0,131,219
CH06_02S,CH06_01S,CH06_02S,75,75,94,65,131,219
CH06_03S,CH06_01S,CH06_03S,76,78,93,71,131,219
CH06_04S,CH06_04S,,0,0,0,0,131,219
CH06_05S,CH06_01S,CH06_05S,76,72,93,87,131,219
CH06_06S,CH06_01S,CH06_06S,76,76,93,63,131,219
CH06_07S,CH06_01S,CH06_07S,73,78,96,81,131,219
CH06_08S,CH06_01S,CH06_08S,76,78,94,81,131,219
CH06_09S,CH06_01S,CH06_09S,76,73,93,67,131,219
CH06_10S,CH06_10S,,0,0,0,0,131,219
CH06_11S,CH06_04S,CH06_11S,74,79,95,80,131,219
CH07_01S,CH07_01S,,0,0,0,0,131,219
CH07_02S,CH07_01S,CH07_02S,75,75,94,65,131,219
CH07_03S,CH07_01S,CH07_03S,76,78,93,71,131,219
CH07_04S,CH07_11S,CH07_04S,74,79,95,80,131,219
CH07_05S,CH07_01S,CH07_05S,76,72,93,88,131,219
CH07_06S,CH07_01S,CH07_06S,76,76,93,63,131,219
CH07_07S,CH07_01S,CH07_07S,73,78,96,82,131,219
CH07_08S,CH07_01S,CH07_08S,76,78,94,82,131,219
CH07_09S,CH07_01S,CH07_09S,76,73,93,67,131,219
CH07_10S,CH07_10S,,0,0,0,0,131,219
CH07_11S,CH07_11S,,0,0,0,0,131,219
